Squad,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
be Anderlecht,20,6.0,98,16.33,72,6,7,5,4,4,2,0.33,2,0,0,0,0,0
cy APOEL FC,21,6.0,91,15.17,66,7,7,4,6,1,4,0.67,2,0,1,1,0,0
es Atlético Madrid,20,6.0,190,31.67,137,15,12,15,8,3,10,1.67,6,1,1,1,1,0
es Barcelona,22,10.0,226,22.60,161,14,19,10,16,6,21,2.10,14,1,4,1,1,0
ch Basel,21,8.0,136,17.00,77,10,17,12,12,8,20,2.50,8,1,4,4,1,2
de Bayern Munich,22,12.0,397,33.08,291,38,15,27,22,4,43,3.58,33,1,4,4,1,0
pt Benfica,25,6.0,163,27.17,121,16,11,4,8,3,2,0.33,2,0,0,0,0,0
tr Beşiktaş,23,8.0,151,18.87,112,8,16,5,9,1,23,2.87,16,0,3,2,2,0
sct Celtic,20,6.0,95,15.83,66,6,13,4,4,2,6,1.00,4,1,1,0,0,0
eng Chelsea,19,8.0,228,28.50,162,19,27,10,8,2,25,3.12,17,4,1,1,2,0
ru CSKA Moscow,20,6.0,127,21.17,94,10,5,10,6,2,12,2.00,10,0,0,2,0,0
de Dortmund,22,6.0,152,25.33,111,11,12,8,6,4,13,2.17,11,0,0,1,0,1
nl Feyenoord,23,6.0,98,16.33,74,5,5,6,7,1,8,1.33,5,0,1,2,0,0
it Juventus,23,10.0,230,23.00,154,28,20,11,15,2,26,2.60,19,1,1,2,3,0
eng Liverpool,24,13.0,345,26.54,253,23,27,20,14,8,66,5.08,43,3,6,10,2,2
eng Manchester City,25,10.0,245,24.50,179,17,22,10,12,5,37,3.70,27,3,3,3,1,0
eng Manchester Utd,25,8.0,199,24.87,136,14,22,8,17,2,23,2.87,17,1,1,1,3,0
fr Monaco,23,6.0,119,19.83,82,14,4,6,10,3,10,1.67,3,1,1,3,1,1
it Napoli,20,6.0,119,19.83,98,5,2,6,7,1,15,2.50,10,0,1,1,3,0
si NK Maribor,17,6.0,107,17.83,80,12,6,4,4,1,5,0.83,4,0,1,0,0,0
gr Olympiacos,22,6.0,74,12.33,48,5,7,5,7,2,7,1.17,4,2,0,0,0,1
fr Paris S-G,19,8.0,215,26.87,171,13,11,11,9,0,45,5.63,33,2,3,5,2,0
pt Porto,25,8.0,178,22.25,125,17,13,14,7,2,27,3.38,19,3,1,2,2,0
az Qarabağ,20,6.0,59,9.83,38,3,9,3,3,3,2,0.33,1,1,0,0,0,0
de RB Leipzig,19,6.0,166,27.67,118,8,24,9,4,3,16,2.67,9,0,4,1,1,1
es Real Madrid,23,13.0,411,31.62,330,25,22,17,11,6,56,4.31,48,0,3,2,3,0
it Roma,20,12.0,315,26.25,228,31,21,13,14,8,35,2.92,25,2,3,3,2,0
es Sevilla,22,10.0,280,28.00,213,21,16,15,11,4,26,2.60,13,4,3,2,3,1
ua Shakhtar,20,8.0,147,18.37,99,12,20,9,6,1,19,2.37,12,0,5,1,1,0
ru Spartak Moscow,20,6.0,135,22.50,101,7,12,4,9,2,14,2.33,9,0,1,3,1,0
pt Sporting CP,21,6.0,98,16.33,63,14,3,6,6,6,11,1.83,5,2,0,2,1,1
eng Tottenham,26,8.0,210,26.25,148,18,19,15,6,4,33,4.12,26,0,6,0,1,0
