Squad,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
be Anderlecht,2,6,6,540,6.0,17,2.83,41,23,61.0,1,0,5,1,16.7,1,1,0,0,0.0
cy APOEL FC,3,6,6,540,6.0,17,2.83,40,23,60.0,0,2,4,0,0.0,1,1,0,0,0.0
es Atlético Madrid,1,6,6,540,6.0,4,0.67,17,14,76.5,1,4,1,3,50.0,0,0,0,0,
es Barcelona,2,10,10,900,10.0,6,0.60,31,25,83.9,6,3,1,6,60.0,1,1,0,0,0.0
ch Basel,1,8,8,720,8.0,10,1.25,27,17,63.0,5,0,3,4,50.0,0,0,0,0,
de Bayern Munich,2,12,12,1080,12.0,12,1.00,43,31,72.1,8,2,2,4,33.3,0,0,0,0,
pt Benfica,3,6,6,540,6.0,14,2.33,31,18,64.5,0,0,6,0,0.0,4,3,1,0,25.0
tr Beşiktaş,1,8,8,540,8.0,13,2.17,48,37,72.9,4,2,2,1,12.5,0,0,0,0,
sct Celtic,1,6,6,540,6.0,18,3.00,39,23,56.4,1,0,5,1,16.7,1,1,0,0,0.0
eng Chelsea,1,8,8,720,8.0,12,1.50,32,20,65.6,3,3,2,2,25.0,1,1,0,0,0.0
ru CSKA Moscow,1,6,6,540,6.0,10,1.67,37,27,75.7,3,0,3,1,16.7,1,1,0,0,0.0
de Dortmund,1,6,6,540,6.0,13,2.17,36,23,63.9,0,2,4,0,0.0,0,0,0,0,
nl Feyenoord,2,6,6,540,6.0,14,2.33,28,14,50.0,1,0,5,0,0.0,0,0,0,0,
it Juventus,2,10,10,900,10.0,12,1.20,37,26,70.3,5,3,2,3,30.0,1,1,0,0,0.0
eng Liverpool,1,13,13,1170,13.0,16,1.23,42,27,69.0,7,4,2,6,46.2,3,3,0,0,0.0
eng Manchester City,2,10,10,900,10.0,12,1.20,36,23,72.2,6,0,4,4,40.0,3,2,1,0,33.3
eng Manchester Utd,2,8,8,720,8.0,5,0.62,36,31,86.1,5,1,2,4,50.0,0,0,0,0,
fr Monaco,2,6,6,540,6.0,16,2.67,27,12,48.1,0,2,4,0,0.0,2,2,0,0,0.0
it Napoli,1,6,6,540,6.0,11,1.83,29,17,62.1,2,0,4,1,16.7,1,0,1,0,100.0
si NK Maribor,1,6,6,540,6.0,16,2.67,47,30,68.1,0,3,3,0,0.0,2,1,1,0,50.0
gr Olympiacos,2,6,6,540,6.0,13,2.17,39,27,66.7,0,1,5,1,16.7,0,0,0,0,
fr Paris S-G,1,8,8,720,8.0,9,1.13,37,28,78.4,5,0,3,4,50.0,1,1,0,0,0.0
pt Porto,2,8,8,720,8.0,15,1.87,35,20,60.0,3,2,3,2,25.0,1,1,0,0,0.0
az Qarabağ,1,6,6,540,6.0,14,2.33,47,34,74.5,0,2,4,1,16.7,2,2,0,0,0.0
de RB Leipzig,1,6,6,540,6.0,11,1.83,27,16,63.0,2,1,3,0,0.0,1,1,0,0,0.0
es Real Madrid,2,13,13,1170,13.0,16,1.23,53,38,69.8,9,2,2,3,23.1,0,0,0,0,
it Roma,1,12,12,1080,12.0,19,1.58,63,46,69.8,6,2,4,5,41.7,0,0,0,0,
es Sevilla,2,10,10,900,10.0,15,1.50,41,27,63.4,3,5,2,3,30.0,1,0,0,1,
ua Shakhtar,1,8,8,720,8.0,11,1.37,44,32,79.5,5,0,3,0,0.0,3,2,1,0,33.3
ru Spartak Moscow,2,6,6,540,6.0,13,2.17,36,23,66.7,1,3,2,0,0.0,1,1,0,0,0.0
pt Sporting CP,1,6,6,540,6.0,9,1.50,28,21,67.9,2,1,3,0,0.0,0,0,0,0,
eng Tottenham,2,8,8,720,8.0,8,1.00,33,25,81.8,5,2,1,2,25.0,3,2,0,1,0.0
