Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90
1,Alavés,es La Liga,25,25.4,38,3420,90,100,38.0,418,85.0,300.0,114,19,150,1.45,41,43,-2,-0.05
2,Angers,fr Ligue 1,29,26.7,38,3420,90,100,38.0,418,,,112,0,151,1.21,40,49,-9,-0.24
3,Arsenal,eng Premier League,29,26.9,38,3420,90,100,38.0,418,,,111,0,155,1.97,77,44,33,0.87
4,Atalanta,it Serie A,32,25.2,38,3420,90,100,38.0,417,,,110,0,337,1.89,62,41,21,0.55
5,Athletic Club,es La Liga,25,26.8,38,3420,90,100,38.0,418,84.0,302.0,114,22,151,1.66,53,43,10,0.26
6,Atlético Madrid,es La Liga,22,26.9,38,3420,90,100,38.0,418,83.0,307.0,109,26,156,2.05,70,27,43,1.13
7,Augsburg,de Bundesliga,28,27.1,34,3060,90,100,34.0,374,,,100,0,137,1.12,35,51,-16,-0.47
8,Barcelona,es La Liga,25,26.9,38,3420,90,100,38.0,418,84.0,323.0,94,25,172,2.37,116,37,79,2.08
9,Bastia,fr Ligue 1,29,26.9,38,3420,90,100,38.0,418,,,102,0,162,0.89,29,54,-25,-0.66
10,Bayern Munich,de Bundesliga,22,28.0,34,3060,90,100,34.0,374,,,99,0,139,2.41,89,22,67,1.97
11,Betis,es La Liga,27,26.1,38,3420,90,100,38.0,418,84.0,305.0,111,23,154,1.03,41,64,-23,-0.61
12,Bologna,it Serie A,28,26.3,38,3420,90,100,38.0,418,,,114,0,325,1.08,40,58,-18,-0.47
13,Bordeaux,fr Ligue 1,27,25.9,38,3420,90,100,38.0,418,,,106,0,160,1.55,53,43,10,0.26
14,Bournemouth,eng Premier League,27,27.0,38,3420,90,100,38.0,418,,,110,0,156,1.21,55,67,-12,-0.32
15,Burnley,eng Premier League,27,27.7,38,3420,90,100,38.0,418,,,105,0,161,1.05,39,55,-16,-0.42
16,Caen,fr Ligue 1,27,28.7,38,3420,90,100,38.0,418,,,101,0,164,0.97,36,65,-29,-0.76
17,Cagliari,it Serie A,34,28.7,38,3420,90,100,38.0,418,,,113,0,257,1.24,55,76,-21,-0.55
18,Celta Vigo,es La Liga,27,26.1,38,3420,90,100,38.0,418,84.0,298.0,113,20,152,1.18,53,69,-16,-0.42
19,Chelsea,eng Premier League,24,27.2,38,3420,90,100,38.0,418,,,114,0,152,2.45,85,33,52,1.37
20,Chievo,it Serie A,29,31.3,38,3420,90,100,38.0,418,,,113,0,319,1.13,43,61,-18,-0.47
21,Crotone,it Serie A,31,26.0,38,3420,90,100,38.0,418,,,110,0,329,0.89,34,58,-24,-0.63
22,Crystal Palace,eng Premier League,31,27.7,38,3420,90,100,38.0,418,,,110,0,156,1.08,50,63,-13,-0.34
23,Darmstadt 98,de Bundesliga,31,27.6,34,3060,90,100,34.0,374,,,100,0,137,0.74,28,63,-35,-1.03
24,Dijon,fr Ligue 1,27,27.7,38,3420,90,100,38.0,418,,,108,0,157,0.97,46,58,-12,-0.32
25,Dortmund,de Bundesliga,27,25.3,34,3060,90,100,34.0,374,,,102,0,136,1.88,72,40,32,0.94
26,Eibar,es La Liga,24,26.9,38,3420,90,100,38.0,418,84.0,299.0,112,21,152,1.42,56,51,5,0.13
27,Eint Frankfurt,de Bundesliga,26,25.9,34,3060,90,100,34.0,374,,,100,0,138,1.24,36,43,-7,-0.21
28,Empoli,it Serie A,29,26.8,38,3420,90,100,38.0,418,,,111,0,334,0.84,29,61,-32,-0.84
29,Espanyol,es La Liga,27,27.2,38,3420,90,100,38.0,418,84.0,312.0,105,22,161,1.47,49,50,-1,-0.03
30,Everton,eng Premier League,27,27.5,38,3420,90,100,38.0,418,,,107,0,158,1.61,62,44,18,0.47
31,Fiorentina,it Serie A,30,27.3,38,3420,90,100,38.0,418,,,114,0,325,1.58,63,57,6,0.16
32,Freiburg,de Bundesliga,25,24.7,34,3060,90,100,34.0,374,,,101,0,137,1.41,42,60,-18,-0.53
33,Genoa,it Serie A,33,26.9,38,3420,90,100,38.0,418,,,113,0,329,0.95,38,64,-26,-0.68
34,Gladbach,de Bundesliga,24,25.3,34,3060,90,100,34.0,374,,,99,0,138,1.32,45,49,-4,-0.12
35,Granada,es La Liga,35,24.7,38,3420,90,100,38.0,418,83.0,303.0,111,25,155,0.53,30,82,-52,-1.37
36,Guingamp,fr Ligue 1,25,27.6,38,3420,90,100,38.0,418,,,107,0,159,1.32,46,53,-7,-0.18
37,Hamburger SV,de Bundesliga,29,25.8,34,3060,90,100,34.0,374,,,97,0,142,1.12,33,61,-28,-0.82
38,Hertha BSC,de Bundesliga,26,27.1,34,3060,90,100,34.0,374,,,98,0,140,1.44,43,47,-4,-0.12
39,Hoffenheim,de Bundesliga,23,25.0,34,3060,90,100,34.0,374,,,100,0,138,1.82,64,37,27,0.79
40,Hull City,eng Premier League,28,27.4,38,3420,90,100,38.0,418,,,101,0,165,0.89,37,80,-43,-1.13
41,Ingolstadt 04,de Bundesliga,22,26.9,34,3060,90,100,34.0,374,,,98,0,140,0.94,36,57,-21,-0.62
42,Inter,it Serie A,29,27.5,38,3420,90,100,38.0,418,,,108,0,328,1.63,72,49,23,0.61
43,Juventus,it Serie A,27,29.1,38,3420,90,100,38.0,418,,,113,0,288,2.39,77,27,50,1.32
44,Köln,de Bundesliga,26,26.2,34,3060,90,100,34.0,374,,,88,0,149,1.44,51,42,9,0.26
45,La Coruña,es La Liga,28,27.7,38,3420,90,100,38.0,418,84.0,307.0,107,21,159,0.95,43,61,-18,-0.47
46,Las Palmas,es La Liga,29,27.3,38,3420,90,100,38.0,418,84.0,301.0,112,20,153,1.03,53,74,-21,-0.55
47,Lazio,it Serie A,30,26.0,38,3420,90,100,38.0,418,,,114,0,316,1.84,74,51,23,0.61
48,Leganés,es La Liga,31,26.3,38,3420,90,100,38.0,418,84.0,303.0,112,23,154,0.92,36,55,-19,-0.5
49,Leicester City,eng Premier League,25,27.8,38,3420,90,100,38.0,418,,,106,0,160,1.16,48,63,-15,-0.39
50,Leverkusen,de Bundesliga,24,24.2,34,3060,90,100,34.0,374,,,99,0,138,1.21,53,55,-2,-0.06
51,Lille,fr Ligue 1,31,26.9,38,3420,90,100,38.0,418,,,108,0,158,1.21,40,47,-7,-0.18
52,Liverpool,eng Premier League,23,26.1,38,3420,90,100,38.0,418,,,100,0,166,2.0,78,42,36,0.95
53,Lorient,fr Ligue 1,30,26.8,38,3420,90,100,38.0,418,,,110,0,157,0.95,44,70,-26,-0.68
54,Lyon,fr Ligue 1,27,25.0,38,3420,90,100,38.0,418,,,104,0,161,1.76,77,48,29,0.76
55,Mainz 05,de Bundesliga,28,25.1,34,3060,90,100,34.0,374,,,101,0,137,1.09,44,55,-11,-0.32
56,Málaga,es La Liga,29,26.0,38,3420,90,100,38.0,418,83.0,300.0,112,25,153,1.21,49,55,-6,-0.16
57,Manchester City,eng Premier League,25,28.5,38,3420,90,100,38.0,418,,,106,0,159,2.05,80,39,41,1.08
58,Manchester Utd,eng Premier League,31,26.7,38,3420,90,100,38.0,418,,,110,0,156,1.82,54,29,25,0.66
59,Marseille,fr Ligue 1,27,27.4,38,3420,90,100,38.0,418,,,112,0,154,1.63,57,41,16,0.42
60,Metz,fr Ligue 1,31,26.5,38,3420,90,100,38.0,418,,,105,0,161,1.13,39,72,-33,-0.87
61,Middlesbrough,eng Premier League,27,27.3,38,3420,90,100,38.0,418,,,94,0,172,0.74,27,53,-26,-0.68
62,Milan,it Serie A,28,25.0,38,3420,90,100,38.0,418,,,114,0,327,1.66,57,45,12,0.32
63,Monaco,fr Ligue 1,29,25.0,38,3420,90,100,38.0,418,,,112,0,154,2.5,107,31,76,2.0
64,Montpellier,fr Ligue 1,32,26.8,38,3420,90,100,38.0,418,,,101,0,150,1.03,48,66,-18,-0.47
65,Nancy,fr Ligue 1,27,27.2,38,3420,90,100,38.0,418,,,109,0,158,0.92,29,52,-23,-0.61
66,Nantes,fr Ligue 1,27,24.8,38,3420,90,100,38.0,418,,,113,0,153,1.34,40,54,-14,-0.37
67,Napoli,it Serie A,26,26.9,38,3420,90,100,38.0,418,,,112,0,337,2.26,94,39,55,1.45
68,Nice,fr Ligue 1,27,24.3,38,3420,90,100,38.0,418,,,85,0,179,2.05,63,36,27,0.71
69,Osasuna,es La Liga,35,26.3,38,3420,90,100,38.0,418,83.0,305.0,112,26,154,0.58,40,94,-54,-1.42
70,Palermo,it Serie A,30,26.1,38,3420,90,100,38.0,418,,,112,0,330,0.68,33,77,-44,-1.16
71,Paris S-G,fr Ligue 1,28,26.4,38,3420,90,100,38.0,418,,,111,0,155,2.29,83,27,56,1.47
72,Pescara,it Serie A,34,26.6,38,3420,90,100,38.0,418,,,113,0,282,0.47,37,81,-44,-1.16
73,RB Leipzig,de Bundesliga,23,24.0,34,3060,90,100,34.0,374,,,97,0,141,1.97,66,39,27,0.79
74,Real Madrid,es La Liga,24,27.0,38,3420,90,100,38.0,419,84.0,306.0,111,21,155,2.45,106,41,65,1.71
75,Real Sociedad,es La Liga,27,26.0,38,3420,90,100,38.0,418,84.0,302.0,109,21,156,1.68,59,53,6,0.16
76,Rennes,fr Ligue 1,31,26.3,38,3420,90,100,38.0,418,,,110,0,156,1.32,36,42,-6,-0.16
77,Roma,it Serie A,22,26.7,38,3420,90,100,38.0,418,,,107,0,276,2.29,90,38,52,1.37
78,Saint-Étienne,fr Ligue 1,34,26.1,38,3420,90,100,38.0,418,,,111,0,153,1.32,41,42,-1,-0.03
79,Sampdoria,it Serie A,24,26.6,38,3420,90,100,38.0,418,,,113,0,333,1.26,49,55,-6,-0.16
80,Sassuolo,it Serie A,28,26.7,38,3420,90,100,38.0,418,,,113,0,312,1.21,58,63,-5,-0.13
81,Schalke 04,de Bundesliga,29,25.3,34,3060,90,100,34.0,374,,,101,0,137,1.26,45,40,5,0.15
82,Sevilla,es La Liga,28,26.8,38,3420,90,100,38.0,418,83.0,303.0,111,23,154,1.89,69,49,20,0.53
83,Southampton,eng Premier League,26,26.0,38,3420,90,100,38.0,418,,,109,0,157,1.21,41,48,-7,-0.18
84,Sporting Gijón,es La Liga,29,26.4,38,3420,90,100,38.0,418,84.0,303.0,113,22,150,0.82,42,72,-30,-0.79
85,Stoke City,eng Premier League,26,28.7,38,3420,90,100,38.0,418,,,93,0,173,1.16,41,56,-15,-0.39
86,Sunderland,eng Premier League,31,26.8,38,3420,90,100,38.0,418,,,94,0,172,0.63,29,69,-40,-1.05
87,Swansea City,eng Premier League,27,27.4,38,3420,90,100,38.0,418,,,105,0,161,1.08,45,70,-25,-0.66
