Squad,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
nl Ajax,21,8.0,145,95,49,69,27,55,133,41.4,78,94,18,76,63,208,102,3
it Atalanta,21,6.0,115,66,57,33,25,60,102,58.8,42,65,18,47,74,189,88,4
es Atlético Madrid,22,10.0,176,107,93,67,16,92,218,42.2,126,86,27,59,110,286,180,1
es Barcelona,23,6.0,101,61,37,46,18,52,116,44.8,64,47,11,36,63,164,55,1
de Bayern Munich,24,10.0,172,98,70,70,32,72,168,42.9,96,102,21,81,112,284,99,3
pt Benfica,24,10.0,156,84,103,47,6,82,186,44.1,104,104,31,73,107,263,215,1
tr Beşiktaş,26,6.0,124,80,79,37,8,57,145,39.3,88,86,24,62,83,207,98,0
eng Chelsea,24,10.3,168,95,59,71,38,69,141,48.9,72,111,19,92,84,252,94,5
be Club Brugge,21,6.0,110,61,59,37,14,47,105,44.8,58,74,23,51,90,200,81,0
de Dortmund,23,6.0,108,66,51,45,12,53,119,44.5,66,76,14,62,61,169,84,1
ua Dynamo Kyiv,23,6.0,105,54,63,34,8,45,133,33.8,88,66,21,45,73,178,113,4
it Inter,22,8.0,135,76,54,55,26,56,125,44.8,69,81,26,55,84,219,105,0
it Juventus,28,8.0,141,84,74,42,25,51,117,43.6,66,86,29,57,93,234,117,2
fr Lille,23,8.0,149,86,80,51,18,86,154,55.8,68,97,20,77,57,206,127,3
eng Liverpool,28,13.0,215,127,78,91,46,105,217,48.4,112,136,15,121,139,354,156,2
se Malmö,21,6.0,65,41,40,21,4,33,96,34.4,63,62,18,44,68,133,123,1
eng Manchester City,26,12.3,185,99,85,71,29,99,199,49.7,100,113,20,93,140,325,104,2
eng Manchester Utd,31,8.0,131,74,54,58,19,63,120,52.5,57,87,26,61,85,216,124,7
it Milan,23,6.0,123,65,66,50,7,57,120,47.5,63,78,29,49,58,181,126,6
fr Paris S-G,21,8.0,126,63,78,35,13,57,137,41.6,80,102,35,67,55,181,166,5
pt Porto,22,6.0,108,67,53,39,16,47,124,37.9,77,72,16,56,53,161,106,4
de RB Leipzig,23,6.0,100,52,44,36,20,44,126,34.9,82,78,21,57,70,170,81,1
at RB Salzburg,21,8.0,175,94,82,68,25,98,225,43.6,127,100,26,74,96,271,125,1
es Real Madrid,25,13.7,236,141,115,87,34,104,247,42.1,143,147,55,92,132,368,203,4
es Sevilla,22,6.0,73,42,39,23,11,41,101,40.6,60,65,19,46,64,137,70,3
ua Shakhtar,25,6.0,71,45,35,24,12,31,78,39.7,47,56,21,35,48,119,84,6
md Sheriff Tiraspol,19,6.0,106,58,70,27,9,55,131,42.0,76,92,38,54,67,173,163,0
pt Sporting CP,27,8.0,134,72,64,57,13,64,173,37.0,109,87,26,61,115,249,133,3
es Villarreal,25,12.0,196,110,112,61,23,84,202,41.6,118,130,48,82,114,310,269,9
de Wolfsburg,21,6.0,107,61,56,39,12,59,121,48.8,62,72,19,53,64,171,133,3
ch Young Boys,24,6.0,115,63,69,36,10,64,123,52.0,59,50,12,38,87,202,73,1
ru Zenit,21,6.0,83,46,51,24,8,37,93,39.8,56,60,13,47,56,139,123,3
