Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
1,Alavés,es La Liga,26,38.0,101,1,0,551,499,58,729,390,389,2,6,2,1972,864,890,49.3
2,Amiens,fr Ligue 1,26,38.0,62,6,3,521,519,65,586,396,384,1,9,2,1918,722,705,50.6
3,Angers,fr Ligue 1,24,38.0,49,4,0,449,445,51,628,420,399,10,5,2,1946,616,565,52.2
4,Arsenal,eng Premier League,28,38.0,74,2,1,412,455,89,605,412,366,4,7,1,2000,555,637,46.6
5,Atalanta,it Serie A,27,38.0,63,3,1,445,501,71,801,454,397,3,5,3,2247,628,551,53.3
6,Athletic Club,es La Liga,27,38.0,120,4,2,580,492,74,728,453,384,6,5,0,2036,923,723,56.1
7,Atlético Madrid,es La Liga,29,38.0,103,5,3,476,453,80,590,463,487,2,5,2,2080,675,586,53.5
8,Augsburg,de Bundesliga,30,34.0,55,1,0,458,349,85,603,467,376,2,2,2,1875,654,699,48.3
9,Barcelona,es La Liga,30,38.0,77,2,1,410,550,102,394,391,346,8,2,1,2017,449,365,55.2
10,Bayern Munich,de Bundesliga,24,34.0,44,2,2,312,342,88,777,336,294,4,6,1,1979,522,444,54.0
11,Betis,es La Liga,25,38.0,89,1,0,435,548,79,590,361,378,5,5,0,1804,463,467,49.8
12,Bologna,it Serie A,29,38.0,94,6,3,516,519,83,737,372,430,2,4,1,1877,748,716,51.1
13,Bordeaux,fr Ligue 1,33,38.0,74,5,0,545,497,60,658,391,447,3,7,0,2158,660,721,47.8
14,Bournemouth,eng Premier League,28,38.0,60,1,0,340,441,57,613,371,299,8,5,3,1910,701,736,48.8
15,Brighton,eng Premier League,21,38.0,62,4,1,463,301,90,636,463,391,5,10,0,1979,824,780,51.4
16,Burnley,eng Premier League,23,38.0,75,1,0,360,356,106,692,367,311,1,3,4,1955,1016,1025,49.8
17,Caen,fr Ligue 1,26,38.0,83,6,4,559,500,50,647,489,435,3,8,2,1911,756,822,47.9
18,Cagliari,it Serie A,30,38.0,99,9,5,573,454,58,794,344,388,3,10,2,1946,850,758,52.9
19,Cardiff City,eng Premier League,25,38.0,66,1,0,374,390,77,562,529,375,2,7,0,1975,966,966,50.0
20,Celta Vigo,es La Liga,28,38.0,84,6,5,458,484,90,659,382,377,3,7,1,1904,663,611,52.0
21,Chelsea,eng Premier League,24,38.0,49,0,0,339,424,83,692,353,365,5,2,0,2171,523,504,50.9
22,Chievo,it Serie A,36,38.0,116,7,6,588,476,78,677,471,374,3,4,2,1944,695,732,48.7
23,Crystal Palace,eng Premier League,26,38.0,59,2,1,386,391,78,577,445,446,10,5,1,1996,680,706,49.1
24,Dijon,fr Ligue 1,26,38.0,79,7,4,573,443,59,606,482,408,1,3,1,1963,694,800,46.5
25,Dortmund,de Bundesliga,23,34.0,40,3,0,292,385,66,458,384,319,3,5,0,1784,461,472,49.4
26,Düsseldorf,de Bundesliga,24,34.0,67,1,0,432,404,49,544,419,384,3,7,0,1725,609,608,50.0
27,Eibar,es La Liga,25,38.0,82,2,1,521,390,92,1057,368,424,5,4,1,2272,996,1018,49.5
28,Eint Frankfurt,de Bundesliga,30,34.0,60,3,2,420,346,81,678,360,371,1,1,1,2032,819,712,53.5
29,Empoli,it Serie A,29,38.0,74,3,1,458,440,77,636,333,328,5,8,2,1865,431,544,44.2
30,Espanyol,es La Liga,25,38.0,92,2,2,531,510,84,544,408,394,3,8,2,1935,591,582,50.4
31,Everton,eng Premier League,23,38.0,57,4,1,432,418,69,814,453,441,4,5,2,2157,872,877,49.9
32,Fiorentina,it Serie A,27,38.0,91,5,2,562,507,48,780,413,371,5,6,3,1973,637,623,50.6
33,Freiburg,de Bundesliga,28,34.0,57,3,3,412,408,51,528,374,357,4,7,0,1649,553,669,45.3
34,Frosinone,it Serie A,33,38.0,99,2,0,560,536,73,815,384,353,5,5,1,1873,621,715,46.5
35,Fulham,eng Premier League,28,38.0,72,2,2,423,342,90,611,434,362,2,7,2,2072,742,718,50.8
36,Genoa,it Serie A,31,38.0,96,7,2,559,481,65,797,424,424,4,6,2,1981,758,749,50.3
37,Getafe,es La Liga,26,38.0,111,7,4,642,501,102,638,453,358,4,7,2,2029,836,948,46.9
38,Girona,es La Liga,26,38.0,83,4,2,537,527,60,743,432,367,3,8,2,1974,749,756,49.8
39,Gladbach,de Bundesliga,22,34.0,43,0,0,333,357,70,565,310,292,5,3,0,1680,426,549,43.7
40,Guingamp,fr Ligue 1,30,38.0,58,5,0,486,464,54,809,421,431,4,6,0,1990,778,843,48.0
41,Hannover 96,de Bundesliga,32,34.0,64,4,3,421,420,58,522,459,342,2,7,1,1788,617,716,46.3
42,Hertha BSC,de Bundesliga,26,34.0,67,5,3,447,374,75,554,381,352,3,6,2,1746,693,640,52.0
43,Hoffenheim,de Bundesliga,29,34.0,69,2,2,471,348,66,667,399,363,5,7,1,1847,521,531,49.5
44,Huddersfield,eng Premier League,31,38.0,57,4,1,420,370,63,768,531,425,1,9,1,2063,844,807,51.1
45,Huesca,es La Liga,30,38.0,114,3,1,579,442,94,771,440,452,5,9,3,2029,740,762,49.3
46,Inter,it Serie A,23,38.0,75,3,2,468,488,64,1092,311,409,5,5,3,1995,519,589,46.8
47,Juventus,it Serie A,31,38.0,78,4,2,471,469,75,867,396,355,5,4,1,1946,534,469,53.2
48,Lazio,it Serie A,30,38.0,90,4,1,502,391,97,738,432,406,3,6,3,2112,612,539,53.2
49,Leganés,es La Liga,29,38.0,106,4,2,542,398,75,744,432,382,3,4,1,1942,914,721,55.9
50,Leicester City,eng Premier League,25,38.0,63,5,3,351,378,72,779,438,393,6,5,0,2087,811,679,54.4
51,Levante,es La Liga,26,38.0,112,7,5,501,487,85,674,422,372,6,9,2,1969,469,571,45.1
52,Leverkusen,de Bundesliga,21,34.0,50,1,0,367,383,65,633,358,368,3,6,3,2020,541,554,49.4
53,Lille,fr Ligue 1,25,38.0,71,4,1,479,510,39,575,387,378,10,10,0,2018,564,575,49.5
54,Liverpool,eng Premier League,23,38.0,41,2,2,315,347,77,721,314,377,7,1,0,2111,593,587,50.3
55,Lyon,fr Ligue 1,25,38.0,57,3,2,443,469,94,684,363,384,9,5,3,2028,612,513,54.4
56,Mainz 05,de Bundesliga,28,34.0,56,0,0,430,359,83,646,395,309,3,4,0,1843,658,627,51.2
57,Manchester City,eng Premier League,21,38.0,44,1,0,328,301,98,783,362,327,4,4,0,2000,540,522,50.8
58,Manchester Utd,eng Premier League,28,38.0,77,4,2,433,397,90,638,355,347,11,6,3,1969,687,550,55.5
59,Marseille,fr Ligue 1,24,38.0,83,8,1,501,455,46,827,401,489,2,12,0,1949,695,622,52.8
60,Milan,it Serie A,23,38.0,82,5,2,445,478,63,752,373,382,2,5,1,1899,480,512,48.4
61,Monaco,fr Ligue 1,42,38.0,92,6,1,528,505,55,748,386,422,5,8,2,1941,611,594,50.7
62,Montpellier,fr Ligue 1,25,38.0,61,4,1,537,478,58,749,484,431,2,5,2,2061,729,741,49.6
63,Nantes,fr Ligue 1,33,38.0,75,6,3,493,496,77,725,435,478,7,8,0,2173,767,685,52.8
64,Napoli,it Serie A,26,38.0,75,5,3,410,414,85,774,358,359,0,4,0,2171,386,440,46.7
65,Newcastle Utd,eng Premier League,24,38.0,57,2,0,423,332,59,711,506,433,2,6,1,2034,785,914,46.2
66,Nice,fr Ligue 1,30,38.0,73,5,1,425,518,40,495,450,420,7,6,1,1957,516,502,50.7
67,Nîmes,fr Ligue 1,23,38.0,71,5,2,487,494,40,736,443,442,3,5,1,2030,693,828,45.6
68,Nürnberg,de Bundesliga,27,34.0,59,4,1,394,381,53,495,354,350,5,4,2,1646,621,669,48.1
69,Paris S-G,fr Ligue 1,30,38.0,64,4,0,474,444,92,588,342,434,10,6,4,2060,402,336,54.5
70,Parma,it Serie A,31,38.0,84,3,2,493,433,91,511,399,351,5,8,5,1785,561,615,47.7
71,Rayo Vallecano,es La Liga,29,38.0,106,8,5,567,455,71,783,433,422,5,11,1,1996,535,587,47.7
72,RB Leipzig,de Bundesliga,23,34.0,61,1,0,465,393,87,616,416,398,3,6,1,1998,743,603,55.2
73,Real Madrid,es La Liga,27,38.0,83,6,4,446,545,112,762,373,395,8,8,0,1957,479,434,52.5
74,Real Sociedad,es La Liga,30,38.0,82,4,2,492,544,92,627,425,344,7,3,2,2021,699,651,51.8
75,Reims,fr Ligue 1,27,38.0,67,2,0,532,467,79,633,486,454,2,7,2,2029,647,718,47.4
76,Rennes,fr Ligue 1,28,38.0,70,3,2,490,486,61,663,389,395,9,5,1,2032,625,560,52.7
77,Roma,it Serie A,26,38.0,90,2,2,461,395,50,855,419,344,5,7,1,1954,727,547,57.1
78,Saint-Étienne,fr Ligue 1,29,38.0,67,7,4,454,456,60,770,441,406,4,9,1,1948,609,643,48.6
79,Sampdoria,it Serie A,24,38.0,92,3,3,493,510,70,641,364,425,7,8,1,2030,471,522,47.4
80,Sassuolo,it Serie A,29,38.0,90,8,3,528,528,73,660,378,328,4,8,2,1864,464,510,47.6
81,Schalke 04,de Bundesliga,32,34.0,73,5,1,454,397,79,521,419,381,7,6,1,1886,600,559,51.8
82,Sevilla,es La Liga,27,38.0,118,6,4,536,462,111,812,365,408,5,7,0,2050,651,724,47.3
83,Southampton,eng Premier League,30,38.0,75,3,2,420,341,61,666,549,428,4,3,3,2053,767,873,46.8
84,SPAL,it Serie A,28,38.0,113,3,1,499,550,37,863,388,374,7,5,0,1772,569,577,49.7
85,Strasbourg,fr Ligue 1,26,38.0,71,4,1,512,404,43,719,428,405,5,9,1,1940,631,615,50.6
86,Stuttgart,de Bundesliga,26,34.0,66,5,2,374,399,67,727,399,362,0,3,4,1720,723,691,51.1
87,Torino,it Serie A,25,38.0,89,4,1,617,570,75,751,451,394,5,5,0,2193,824,838,49.6
