Rk,Squad,Comp,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
1,Alavés,es La Liga,2,38.0,50,6,3,2,2,52.6,0.29,4.6,0.12,325,794,40.9,805,98,61.6,48.9,337,88.4,57.0,632,21,3.3,42,1.11,8.6
2,Amiens,fr Ligue 1,1,38.0,52,6,3,7,2,47.9,0.25,-2.1,-0.06,296,775,38.2,826,82,59.2,42.7,329,86.9,56.7,571,14,2.5,18,0.47,13.7
3,Angers,fr Ligue 1,2,38.0,49,3,0,3,2,48.3,0.27,1.3,0.03,250,608,41.1,743,191,49.7,39.4,307,77.9,51.2,565,21,3.7,35,0.92,17.8
4,Arsenal,eng Premier League,2,38.0,51,7,1,3,1,53.5,0.26,3.5,0.09,159,478,33.3,1093,227,29.2,31.5,280,56.8,45.5,489,16,3.3,48,1.26,15.3
5,Atalanta,it Serie A,3,38.0,46,4,3,6,3,39.4,0.27,-3.6,-0.1,187,457,40.9,800,173,31.0,30.3,272,76.8,52.8,448,12,2.7,49,1.29,14.5
6,Athletic Club,es La Liga,2,38.0,45,5,0,6,0,42.8,0.32,-2.2,-0.06,358,825,43.4,901,123,64.9,36.7,264,90.9,62.7,508,22,4.3,36,0.95,11.1
7,Atlético Madrid,es La Liga,2,38.0,29,5,0,4,2,42.3,0.28,15.3,0.4,220,596,36.9,583,104,56.6,33.3,302,88.1,57.2,555,22,4.0,16,0.42,
8,Augsburg,de Bundesliga,3,34.0,71,1,2,8,2,60.8,0.32,-8.2,-0.24,178,491,36.3,848,143,41.2,36.9,276,51.4,42.4,470,16,3.4,26,0.76,13.7
9,Barcelona,es La Liga,2,38.0,36,2,0,2,1,40.4,0.3,5.4,0.14,125,244,51.2,970,211,15.7,26.0,224,41.1,37.8,440,8,1.8,38,1.0,15.8
10,Bayern Munich,de Bundesliga,2,34.0,32,5,1,3,1,29.7,0.32,-1.3,-0.04,110,261,42.1,1012,170,23.1,26.6,165,16.4,30.9,249,10,4.0,52,1.53,17.5
11,Betis,es La Liga,2,38.0,52,4,2,8,0,51.5,0.31,-0.5,-0.01,128,337,38.0,1153,195,20.3,30.6,276,37.3,36.8,466,25,5.4,58,1.53,18.7
12,Bologna,it Serie A,1,38.0,56,4,1,4,1,50.6,0.27,-4.4,-0.11,251,543,46.2,776,225,41.1,36.4,353,63.5,46.7,599,32,5.3,14,0.37,11.3
13,Bordeaux,fr Ligue 1,2,38.0,42,6,1,11,0,46.7,0.27,4.7,0.12,262,601,43.6,855,126,43.7,37.6,338,67.2,48.9,598,13,2.2,22,0.58,13.6
14,Bournemouth,eng Premier League,3,38.0,70,5,2,6,3,55.2,0.3,-11.8,-0.31,191,512,37.3,744,203,40.9,36.6,318,65.4,48.7,596,28,4.7,30,0.79,14.3
15,Brighton,eng Premier League,2,38.0,60,10,1,5,0,55.9,0.28,-4.1,-0.11,328,822,39.9,776,109,62.8,42.7,358,93.6,59.4,561,20,3.6,13,0.34,11.6
16,Burnley,eng Premier League,2,38.0,68,2,2,8,4,58.0,0.28,-6.0,-0.16,381,957,39.8,848,95,74.6,48.2,353,91.8,63.0,643,14,2.2,43,1.13,16.4
17,Caen,fr Ligue 1,1,38.0,54,6,4,5,2,65.9,0.31,13.9,0.37,356,772,46.1,910,178,56.6,41.3,319,80.6,54.6,606,37,6.1,16,0.42,11.7
18,Cagliari,it Serie A,1,38.0,54,8,2,4,2,61.5,0.26,9.5,0.25,337,722,46.7,884,175,48.6,36.9,369,79.1,53.6,646,25,3.9,31,0.82,12.8
19,Cardiff City,eng Premier League,1,38.0,69,4,1,12,0,68.2,0.3,-0.8,-0.02,337,1076,31.3,876,51,86.6,53.9,319,99.4,65.6,536,15,2.8,46,1.21,15.4
20,Celta Vigo,es La Liga,2,38.0,62,6,4,5,1,59.7,0.32,-1.3,-0.03,257,669,38.4,925,161,44.3,38.0,348,74.4,55.1,581,20,3.4,37,0.97,15.6
21,Chelsea,eng Premier League,2,38.0,39,1,0,6,0,36.8,0.28,-2.2,-0.06,123,250,49.2,950,165,15.9,25.9,272,36.4,37.1,395,16,4.1,35,0.92,18.1
22,Chievo,it Serie A,3,38.0,75,2,2,8,2,62.5,0.28,-10.5,-0.28,251,590,42.5,765,123,46.3,37.1,353,66.9,43.7,660,19,2.9,13,0.34,19.7
23,Crystal Palace,eng Premier League,3,38.0,53,4,1,7,1,46.7,0.26,-5.3,-0.14,245,769,31.9,793,159,58.6,43.6,347,87.6,60.4,635,27,4.3,25,0.66,13.6
24,Dijon,fr Ligue 1,2,38.0,60,3,2,7,1,50.9,0.28,-8.1,-0.21,298,671,44.4,987,194,42.2,33.7,339,74.9,52.3,556,34,6.1,63,1.66,18.6
25,Dortmund,de Bundesliga,2,34.0,44,4,1,7,0,41.5,0.29,-2.5,-0.07,146,447,32.7,903,177,32.9,31.0,235,63.8,48.4,458,19,4.1,38,1.12,12.0
26,Düsseldorf,de Bundesliga,2,34.0,65,7,1,7,0,56.9,0.3,-8.1,-0.24,233,582,40.0,715,152,43.5,36.7,328,82.6,54.5,553,30,5.4,6,0.18,9.2
27,Eibar,es La Liga,2,38.0,50,3,2,3,1,44.1,0.31,-4.9,-0.13,325,855,38.0,912,108,69.4,44.6,235,94.5,66.5,403,20,5.0,84,2.21,18.1
28,Eint Frankfurt,de Bundesliga,2,34.0,48,1,1,5,1,44.1,0.27,-2.9,-0.09,350,745,47.0,1023,107,53.6,44.6,236,83.5,56.8,457,20,4.4,37,1.09,9.0
29,Empoli,it Serie A,3,38.0,70,6,0,8,2,64.5,0.25,-3.5,-0.09,156,454,34.4,862,230,35.0,34.3,347,43.8,40.6,628,23,3.7,33,0.87,14.7
30,Espanyol,es La Liga,1,38.0,50,6,5,7,2,51.8,0.27,3.8,0.1,226,562,40.2,868,133,39.9,35.4,333,64.9,47.6,674,24,3.6,19,0.5,12.3
31,Everton,eng Premier League,1,38.0,46,2,2,9,2,45.3,0.3,1.3,0.03,253,724,34.9,979,152,54.0,42.3,291,67.0,53.7,431,14,3.2,40,1.05,17.3
32,Fiorentina,it Serie A,3,38.0,45,5,1,5,3,37.5,0.22,-4.5,-0.12,184,511,36.0,877,190,39.9,38.1,304,53.0,42.5,583,16,2.7,35,0.92,9.9
33,Freiburg,de Bundesliga,2,34.0,61,7,0,11,0,58.1,0.31,-2.9,-0.09,263,647,40.6,964,143,39.7,36.7,335,78.8,59.2,552,13,2.4,29,0.85,14.8
34,Frosinone,it Serie A,2,38.0,69,5,3,8,1,58.4,0.26,-9.6,-0.25,191,572,33.4,941,237,37.2,36.1,356,62.4,47.6,618,23,3.7,21,0.55,7.0
35,Fulham,eng Premier League,3,38.0,81,5,1,10,2,72.4,0.3,-6.6,-0.17,332,777,42.7,834,137,57.7,37.3,356,83.1,54.8,629,9,1.4,42,1.11,16.0
36,Genoa,it Serie A,3,38.0,57,5,0,9,2,53.5,0.29,-1.5,-0.04,279,772,36.1,767,114,62.3,35.3,334,88.0,60.0,590,14,2.4,21,0.55,22.1
37,Getafe,es La Liga,2,38.0,35,4,1,2,2,40.1,0.26,7.1,0.19,359,963,37.3,832,52,83.5,50.3,282,95.0,59.3,475,20,4.2,38,1.0,15.5
38,Girona,es La Liga,2,38.0,53,8,2,6,2,61.0,0.27,10.0,0.26,223,578,38.6,896,177,40.5,38.2,328,65.5,48.4,554,19,3.4,27,0.71,9.6
39,Gladbach,de Bundesliga,1,34.0,42,3,0,3,0,48.2,0.3,6.2,0.18,174,465,37.4,1338,190,26.3,30.5,264,42.8,40.0,458,26,5.7,33,0.97,13.8
40,Guingamp,fr Ligue 1,2,38.0,68,3,2,4,0,56.0,0.31,-12.0,-0.32,305,724,42.1,729,123,61.6,44.2,304,90.5,59.8,483,26,5.4,11,0.29,9.3
41,Hannover 96,de Bundesliga,3,34.0,71,6,1,10,1,65.1,0.27,-4.9,-0.14,310,633,49.0,982,150,45.9,32.0,310,58.7,43.4,569,26,4.6,42,1.24,3.0
42,Hertha BSC,de Bundesliga,2,34.0,57,4,1,6,2,52.1,0.3,-2.9,-0.08,369,836,44.1,967,104,58.1,40.8,309,88.7,57.5,536,33,6.2,30,0.88,14.2
43,Hoffenheim,de Bundesliga,2,34.0,52,7,1,4,1,49.1,0.25,-1.9,-0.06,178,424,42.0,1073,194,29.8,29.3,253,41.1,39.8,462,15,3.2,60,1.76,18.0
44,Huddersfield,eng Premier League,3,38.0,76,7,3,7,1,61.1,0.29,-13.9,-0.37,339,815,41.6,1062,109,55.9,40.7,281,78.6,56.0,426,30,7.0,34,0.89,13.3
45,Huesca,es La Liga,3,38.0,65,9,2,1,3,61.5,0.31,-0.5,-0.01,332,851,39.0,782,75,71.9,43.8,310,93.2,61.9,525,7,1.3,12,0.32,10.5
46,Inter,it Serie A,1,38.0,33,3,1,3,3,33.1,0.24,3.1,0.08,140,299,46.8,901,203,21.0,27.3,265,41.5,37.1,492,16,3.3,27,0.71,14.5
47,Juventus,it Serie A,3,38.0,30,2,1,4,1,34.5,0.29,5.5,0.14,182,344,52.9,720,167,31.3,32.7,287,41.5,39.0,489,11,2.2,30,0.79,15.7
48,Lazio,it Serie A,3,38.0,46,5,2,5,3,50.0,0.3,7.0,0.18,192,495,38.8,916,183,39.6,27.3,274,48.2,41.9,529,12,2.3,31,0.82,16.0
49,Leganés,es La Liga,2,38.0,43,3,2,3,1,43.2,0.3,1.2,0.03,344,834,41.2,894,112,63.0,39.8,307,88.3,60.3,585,28,4.8,30,0.79,15.7
50,Leicester City,eng Premier League,1,38.0,48,5,0,4,0,40.0,0.26,-8.0,-0.21,282,639,44.1,935,127,44.3,37.7,310,72.6,52.3,534,12,2.2,25,0.66,12.5
51,Levante,es La Liga,3,38.0,66,8,1,6,2,68.9,0.27,4.9,0.13,207,577,35.9,662,184,48.2,39.4,394,65.5,47.8,595,19,3.2,32,0.84,14.6
52,Leverkusen,de Bundesliga,2,34.0,52,4,2,10,3,43.0,0.27,-6.0,-0.18,211,476,44.3,1214,169,30.1,40.5,207,53.1,42.0,424,11,2.6,53,1.56,10.9
53,Lille,fr Ligue 1,1,38.0,33,6,1,4,0,39.0,0.25,6.0,0.16,177,557,31.8,838,189,41.9,36.2,275,74.9,53.5,497,29,5.8,44,1.16,16.5
54,Liverpool,eng Premier League,1,38.0,22,0,0,5,0,27.2,0.29,5.2,0.14,129,311,41.5,1072,212,20.1,28.8,216,44.0,41.3,385,16,4.2,59,1.55,16.6
55,Lyon,fr Ligue 1,2,38.0,47,5,2,4,3,39.6,0.24,-4.4,-0.12,138,327,42.2,903,193,25.6,30.4,279,34.4,37.8,441,13,2.9,39,1.03,15.2
56,Mainz 05,de Bundesliga,2,34.0,57,3,1,8,0,51.9,0.29,-5.1,-0.15,203,596,34.1,881,160,41.7,36.1,293,78.2,56.7,522,22,4.2,37,1.09,14.5
57,Manchester City,eng Premier League,1,38.0,23,4,1,5,0,23.3,0.25,0.3,0.01,98,239,41.0,919,188,17.1,26.8,189,43.4,42.9,282,19,6.7,41,1.08,16.9
58,Manchester Utd,eng Premier League,1,38.0,54,6,2,7,3,49.9,0.26,-1.1,-0.03,265,620,42.7,769,153,46.6,38.2,332,78.9,54.6,524,9,1.7,25,0.66,13.4
59,Marseille,fr Ligue 1,2,38.0,52,10,1,2,0,46.0,0.25,-6.0,-0.16,196,493,39.8,974,171,37.6,35.7,249,51.0,42.2,414,21,5.1,36,0.95,14.6
60,Milan,it Serie A,2,38.0,36,4,1,5,1,38.9,0.25,3.9,0.1,160,345,46.4,963,221,21.6,32.3,324,42.3,36.9,597,19,3.2,24,0.63,11.4
61,Monaco,fr Ligue 1,3,38.0,57,5,0,6,2,50.4,0.3,-4.6,-0.12,149,395,37.7,741,176,32.7,30.3,282,54.3,43.3,496,14,2.8,22,0.58,12.6
62,Montpellier,fr Ligue 1,2,38.0,42,3,1,8,2,41.5,0.26,1.5,0.04,319,712,44.8,1026,183,51.2,39.9,290,64.5,48.0,508,25,4.9,39,1.03,13.7
63,Nantes,fr Ligue 1,3,38.0,48,4,2,7,0,45.5,0.29,-2.5,-0.07,247,568,43.5,839,157,39.3,33.5,314,75.8,51.7,508,25,4.9,47,1.24,15.2
64,Napoli,it Serie A,3,38.0,36,4,1,4,0,34.5,0.22,-1.5,-0.04,100,333,30.0,781,150,25.2,28.8,277,49.1,41.2,485,18,3.7,24,0.63,12.9
65,Newcastle Utd,eng Premier League,1,38.0,48,6,2,9,1,42.3,0.27,-4.7,-0.12,250,708,35.3,850,140,51.1,38.9,323,84.8,57.9,651,43,6.6,33,0.87,12.0
66,Nice,fr Ligue 1,2,38.0,35,3,0,5,1,44.1,0.25,10.1,0.27,127,345,36.8,905,225,20.6,28.5,325,48.9,40.3,590,17,2.9,19,0.5,11.5
67,Nîmes,fr Ligue 1,1,38.0,58,4,0,4,1,60.4,0.31,3.4,0.09,234,690,33.9,824,160,54.2,40.0,291,83.5,55.2,491,28,5.7,33,0.87,14.5
68,Nürnberg,de Bundesliga,2,34.0,68,2,1,7,2,53.5,0.29,-12.5,-0.37,231,661,34.9,1017,138,44.1,39.0,337,62.9,49.8,633,10,1.6,20,0.59,9.6
69,Paris S-G,fr Ligue 1,2,38.0,35,5,1,3,4,36.2,0.23,5.2,0.14,61,147,41.5,678,179,12.8,25.3,247,24.3,31.7,429,9,2.1,29,0.76,13.7
70,Parma,it Serie A,2,38.0,61,8,1,8,5,56.6,0.24,0.6,0.02,324,752,43.1,773,145,48.9,39.8,484,77.3,51.2,860,36,4.2,13,0.34,9.4
71,Rayo Vallecano,es La Liga,2,38.0,70,7,0,10,1,65.8,0.3,-3.2,-0.08,240,581,41.3,887,197,44.2,37.2,306,61.8,46.5,574,13,2.3,35,0.92,15.5
72,RB Leipzig,de Bundesliga,2,34.0,29,5,1,4,1,39.7,0.29,11.7,0.34,241,598,40.3,822,128,50.0,39.6,229,81.7,55.7,389,16,4.1,59,1.74,19.5
73,Real Madrid,es La Liga,3,38.0,46,6,0,6,0,47.9,0.31,1.9,0.05,126,363,34.7,923,233,27.1,32.3,256,44.1,42.5,400,26,6.5,38,1.0,14.2
74,Real Sociedad,es La Liga,2,38.0,46,2,1,11,2,39.9,0.27,-4.1,-0.11,218,556,39.2,1156,142,31.2,31.5,295,66.1,47.7,590,28,4.7,52,1.37,17.8
75,Reims,fr Ligue 1,1,38.0,42,7,1,3,2,44.9,0.26,4.9,0.13,257,654,39.3,861,136,49.8,40.7,291,77.3,53.8,667,28,4.2,27,0.71,13.2
76,Rennes,fr Ligue 1,2,38.0,52,4,0,9,1,44.1,0.26,-6.9,-0.18,195,499,39.1,759,157,39.9,33.1,290,67.6,49.6,548,22,4.0,52,1.37,12.7
77,Roma,it Serie A,2,38.0,48,4,0,7,1,47.6,0.26,0.6,0.02,214,484,44.2,879,200,34.6,35.4,305,59.0,46.9,579,12,2.1,31,0.82,13.3
78,Saint-Étienne,fr Ligue 1,2,38.0,41,7,0,7,1,49.0,0.27,9.0,0.24,171,571,29.9,901,171,41.8,36.4,323,60.1,44.0,488,11,2.3,18,0.47,12.8
79,Sampdoria,it Serie A,2,38.0,51,7,2,6,1,49.7,0.29,-0.3,-0.01,134,394,34.0,905,189,26.4,34.7,311,49.8,39.4,606,25,4.1,49,1.29,16.5
80,Sassuolo,it Serie A,2,38.0,60,4,0,12,2,58.0,0.31,0.0,0.0,195,473,41.2,932,168,34.9,32.7,315,47.0,38.2,623,17,2.7,29,0.76,13.7
81,Schalke 04,de Bundesliga,2,34.0,55,5,1,4,1,52.7,0.29,-1.3,-0.04,216,507,42.6,779,127,42.2,36.4,254,70.1,49.8,427,21,4.9,32,0.94,14.7
82,Sevilla,es La Liga,3,38.0,47,6,2,4,0,50.3,0.28,3.3,0.09,191,630,30.3,875,216,45.8,40.2,294,77.9,55.3,539,30,5.6,30,0.79,20.7
83,Southampton,eng Premier League,3,38.0,65,2,0,6,3,54.0,0.3,-8.0,-0.21,213,714,29.8,709,103,65.6,42.8,287,86.8,58.8,546,20,3.7,29,0.76,11.6
84,SPAL,it Serie A,4,38.0,56,5,0,10,0,49.9,0.26,-6.1,-0.16,241,593,40.6,1012,186,40.8,37.6,335,53.7,43.6,529,13,2.5,20,0.53,12.3
85,Strasbourg,fr Ligue 1,2,38.0,48,7,3,4,1,45.1,0.25,-1.9,-0.05,269,676,39.8,840,193,48.3,39.3,342,78.9,55.6,583,27,4.6,30,0.79,12.3
86,Stuttgart,de Bundesliga,1,34.0,70,2,2,7,4,56.4,0.31,-9.6,-0.28,259,714,36.3,911,129,55.4,40.3,305,68.5,52.7,518,22,4.2,41,1.21,14.7
87,Torino,it Serie A,2,38.0,37,3,0,5,0,43.3,0.27,6.3,0.17,311,690,45.1,881,128,47.7,38.0,329,82.1,50.9,582,27,4.6,37,0.97,13.9
88,Tottenham,eng Premier League,3,38.0,39,3,1,7,3,47.7,0.28,11.7,0.31,183,464,39.4,1089,191,28.8,24.7,288,52.1,43.1,514,16,3.1,40,1.05,15.4
89,Toulouse,fr Ligue 1,2,38.0,57,5,2,5,1,51.6,0.26,-4.4,-0.12,259,683,37.9,969,174,44.8,37.8,384,64.8,48.0,619,21,3.4,42,1.11,15.4
90,Udinese,it Serie A,2,38.0,53,9,0,6,1,55.8,0.27,3.8,0.1,302,680,44.4,730,139,49.5,36.0,406,78.6,50.0,735,19,2.6,14,0.37,10.0
91,Valencia,es La Liga,2,38.0,35,7,2,6,2,42.4,0.23,9.4,0.25,186,548,33.9,635,176,46.6,35.1,305,82.6,57.1,620,14,2.3,18,0.47,12.5
92,Valladolid,es La Liga,2,38.0,51,6,1,8,1,53.2,0.29,3.2,0.08,269,842,31.9,900,172,59.1,47.5,347,89.3,60.6,614,20,3.3,14,0.37,13.1
93,Villarreal,es La Liga,2,38.0,52,3,2,5,3,55.8,0.28,6.8,0.18,227,532,42.7,708,154,45.9,39.2,303,68.3,50.6,677,23,3.4,36,0.95,11.8
94,Watford,eng Premier League,1,38.0,59,4,2,6,3,55.5,0.3,-0.5,-0.01,340,941,36.1,942,98,69.9,45.9,308,91.9,63.2,575,31,5.4,72,1.89,16.9
95,Werder Bremen,de Bundesliga,3,34.0,49,4,2,5,0,48.6,0.29,-0.4,-0.01,213,501,42.5,941,169,36.1,34.8,310,51.9,43.1,510,13,2.5,25,0.74,13.4
96,West Ham,eng Premier League,1,38.0,55,4,0,10,1,62.7,0.31,8.7,0.23,306,825,37.1,917,155,59.0,43.0,309,91.9,61.3,554,29,5.2,16,0.42,12.1
97,Wolfsburg,de Bundesliga,2,34.0,50,4,3,1,0,51.9,0.31,1.9,0.06,261,560,46.6,1251,186,32.5,34.0,275,56.0,46.6,530,24,4.5,28,0.82,10.9
98,Wolves,eng Premier League,3,38.0,46,3,1,6,4,39.4,0.26,-2.6,-0.07,218,552,39.5,593,105,52.4,39.1,291,82.8,50.5,508,15,3.0,18,0.47,12.1
