Rk,Squad,Comp,#_Pl,Poss,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec
1,Almería,es La Liga,27,46.4,38.0,,,,,,,,,,,,,,,,,,,,
2,Arsenal,eng Premier League,29,56.6,38.0,,,,,,,,,,,,,,,,,,,,
3,Aston Villa,eng Premier League,27,49.0,38.0,,,,,,,,,,,,,,,,,,,,
4,Atalanta,it Serie A,32,46.4,38.0,,,,,,,,,,,,,,,,,,,,
5,Athletic Club,es La Liga,26,53.2,38.0,,,,,,,,,,,,,,,,,,,,
6,Atlético Madrid,es La Liga,25,48.6,38.0,,,,,,,,,,,,,,,,,,,,
7,Augsburg,de Bundesliga,25,52.3,34.0,,,,,,,,,,,,,,,,,,,,
8,Barcelona,es La Liga,24,65.7,38.0,,,,,,,,,,,,,,,,,,,,
9,Bastia,fr Ligue 1,31,48.9,38.0,,,,,,,,,,,,,,,,,,,,
10,Bayern Munich,de Bundesliga,28,70.4,34.0,,,,,,,,,,,,,,,,,,,,
11,Bordeaux,fr Ligue 1,30,52.8,38.0,,,,,,,,,,,,,,,,,,,,
12,Burnley,eng Premier League,24,42.5,38.0,,,,,,,,,,,,,,,,,,,,
13,Caen,fr Ligue 1,23,45.2,38.0,,,,,,,,,,,,,,,,,,,,
14,Cagliari,it Serie A,29,48.2,38.0,,,,,,,,,,,,,,,,,,,,
15,Celta Vigo,es La Liga,23,55.9,38.0,,,,,,,,,,,,,,,,,,,,
16,Cesena,it Serie A,33,44.4,38.0,,,,,,,,,,,,,,,,,,,,
17,Chelsea,eng Premier League,25,55.9,38.0,,,,,,,,,,,,,,,,,,,,
18,Chievo,it Serie A,27,44.8,38.0,,,,,,,,,,,,,,,,,,,,
19,Córdoba,es La Liga,33,45.9,38.0,,,,,,,,,,,,,,,,,,,,
20,Crystal Palace,eng Premier League,30,40.4,38.0,,,,,,,,,,,,,,,,,,,,
21,Dortmund,de Bundesliga,28,55.3,34.0,,,,,,,,,,,,,,,,,,,,
22,Eibar,es La Liga,23,43.8,38.0,,,,,,,,,,,,,,,,,,,,
23,Eint Frankfurt,de Bundesliga,26,49.5,34.0,,,,,,,,,,,,,,,,,,,,
24,Elche,es La Liga,24,47.9,38.0,,,,,,,,,,,,,,,,,,,,
25,Empoli,it Serie A,26,49.4,38.0,,,,,,,,,,,,,,,,,,,,
26,Espanyol,es La Liga,27,46.0,38.0,,,,,,,,,,,,,,,,,,,,
27,Everton,eng Premier League,28,54.7,38.0,,,,,,,,,,,,,,,,,,,,
28,Evian,fr Ligue 1,29,45.8,38.0,,,,,,,,,,,,,,,,,,,,
29,Fiorentina,it Serie A,30,55.9,38.0,,,,,,,,,,,,,,,,,,,,
30,Freiburg,de Bundesliga,27,48.4,34.0,,,,,,,,,,,,,,,,,,,,
31,Genoa,it Serie A,33,50.9,38.0,,,,,,,,,,,,,,,,,,,,
32,Getafe,es La Liga,27,46.9,38.0,,,,,,,,,,,,,,,,,,,,
33,Gladbach,de Bundesliga,19,53.5,34.0,,,,,,,,,,,,,,,,,,,,
34,Granada,es La Liga,34,47.4,38.0,,,,,,,,,,,,,,,,,,,,
35,Guingamp,fr Ligue 1,28,44.2,38.0,,,,,,,,,,,,,,,,,,,,
36,Hamburger SV,de Bundesliga,31,46.8,34.0,,,,,,,,,,,,,,,,,,,,
37,Hannover 96,de Bundesliga,25,51.3,34.0,,,,,,,,,,,,,,,,,,,,
38,Hellas Verona,it Serie A,30,44.1,38.0,,,,,,,,,,,,,,,,,,,,
39,Hertha BSC,de Bundesliga,26,40.5,34.0,,,,,,,,,,,,,,,,,,,,
40,Hoffenheim,de Bundesliga,23,49.0,34.0,,,,,,,,,,,,,,,,,,,,
41,Hull City,eng Premier League,29,44.2,38.0,,,,,,,,,,,,,,,,,,,,
42,Inter,it Serie A,34,56.6,38.0,,,,,,,,,,,,,,,,,,,,
43,Juventus,it Serie A,28,56.2,38.0,,,,,,,,,,,,,,,,,,,,
44,Köln,de Bundesliga,23,42.8,34.0,,,,,,,,,,,,,,,,,,,,
45,La Coruña,es La Liga,27,48.4,38.0,,,,,,,,,,,,,,,,,,,,
46,Lazio,it Serie A,29,52.2,38.0,,,,,,,,,,,,,,,,,,,,
47,Leicester City,eng Premier League,28,43.5,38.0,,,,,,,,,,,,,,,,,,,,
48,Lens,fr Ligue 1,27,47.3,38.0,,,,,,,,,,,,,,,,,,,,
49,Levante,es La Liga,29,44.5,38.0,,,,,,,,,,,,,,,,,,,,
50,Leverkusen,de Bundesliga,22,51.7,34.0,,,,,,,,,,,,,,,,,,,,
51,Lille,fr Ligue 1,27,51.3,38.0,,,,,,,,,,,,,,,,,,,,
52,Liverpool,eng Premier League,25,55.8,38.0,,,,,,,,,,,,,,,,,,,,
53,Lorient,fr Ligue 1,32,49.6,38.0,,,,,,,,,,,,,,,,,,,,
54,Lyon,fr Ligue 1,26,56.9,38.0,,,,,,,,,,,,,,,,,,,,
55,Mainz 05,de Bundesliga,29,48.9,34.0,,,,,,,,,,,,,,,,,,,,
56,Málaga,es La Liga,23,49.5,38.0,,,,,,,,,,,,,,,,,,,,
57,Manchester City,eng Premier League,24,59.8,38.0,,,,,,,,,,,,,,,,,,,,
58,Manchester Utd,eng Premier League,33,61.2,38.0,,,,,,,,,,,,,,,,,,,,
59,Marseille,fr Ligue 1,25,57.7,38.0,,,,,,,,,,,,,,,,,,,,
60,Metz,fr Ligue 1,31,44.9,38.0,,,,,,,,,,,,,,,,,,,,
61,Milan,it Serie A,35,51.3,38.0,,,,,,,,,,,,,,,,,,,,
62,Monaco,fr Ligue 1,27,51.7,38.0,,,,,,,,,,,,,,,,,,,,
63,Montpellier,fr Ligue 1,26,47.3,38.0,,,,,,,,,,,,,,,,,,,,
64,Nantes,fr Ligue 1,27,47.1,38.0,,,,,,,,,,,,,,,,,,,,
65,Napoli,it Serie A,26,54.8,38.0,,,,,,,,,,,,,,,,,,,,
66,Newcastle Utd,eng Premier League,27,47.7,38.0,,,,,,,,,,,,,,,,,,,,
67,Nice,fr Ligue 1,30,50.4,38.0,,,,,,,,,,,,,,,,,,,,
68,Paderborn 07,de Bundesliga,24,43.2,34.0,,,,,,,,,,,,,,,,,,,,
69,Palermo,it Serie A,31,49.6,38.0,,,,,,,,,,,,,,,,,,,,
70,Paris S-G,fr Ligue 1,23,60.4,38.0,,,,,,,,,,,,,,,,,,,,
71,Parma,it Serie A,38,44.9,38.0,,,,,,,,,,,,,,,,,,,,
72,QPR,eng Premier League,32,45.2,38.0,,,,,,,,,,,,,,,,,,,,
73,Rayo Vallecano,es La Liga,28,54.8,38.0,,,,,,,,,,,,,,,,,,,,
74,Real Madrid,es La Liga,24,56.2,38.0,,,,,,,,,,,,,,,,,,,,
75,Real Sociedad,es La Liga,25,49.8,38.0,,,,,,,,,,,,,,,,,,,,
76,Reims,fr Ligue 1,30,48.9,38.0,,,,,,,,,,,,,,,,,,,,
77,Rennes,fr Ligue 1,22,50.2,38.0,,,,,,,,,,,,,,,,,,,,
78,Roma,it Serie A,32,57.3,38.0,,,,,,,,,,,,,,,,,,,,
79,Saint-Étienne,fr Ligue 1,24,50.3,38.0,,,,,,,,,,,,,,,,,,,,
80,Sampdoria,it Serie A,30,50.4,38.0,,,,,,,,,,,,,,,,,,,,
81,Sassuolo,it Serie A,27,47.0,38.0,,,,,,,,,,,,,,,,,,,,
82,Schalke 04,de Bundesliga,29,51.1,34.0,,,,,,,,,,,,,,,,,,,,
83,Sevilla,es La Liga,26,50.3,38.0,,,,,,,,,,,,,,,,,,,,
84,Southampton,eng Premier League,29,53.1,38.0,,,,,,,,,,,,,,,,,,,,
85,Stoke City,eng Premier League,25,50.4,38.0,,,,,,,,,,,,,,,,,,,,
86,Stuttgart,de Bundesliga,24,47.5,34.0,,,,,,,,,,,,,,,,,,,,
87,Sunderland,eng Premier League,25,45.2,38.0,,,,,,,,,,,,,,,,,,,,
88,Swansea City,eng Premier League,28,50.1,38.0,,,,,,,,,,,,,,,,,,,,
89,Torino,it Serie A,31,49.2,38.0,,,,,,,,,,,,,,,,,,,,
