Rk,Squad,Comp,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
1,Almería,es La Liga,2,38.0,64,,,,,,,,,,,,,,,,,,,,,,,,
2,Arsenal,eng Premier League,3,38.0,36,,,,,,,,,,,,,,,,,,,,,,,,
3,Aston Villa,eng Premier League,3,38.0,57,,,,,,,,,,,,,,,,,,,,,,,,
4,Atalanta,it Serie A,3,38.0,57,,,,,,,,,,,,,,,,,,,,,,,,
5,Athletic Club,es La Liga,2,38.0,41,,,,,,,,,,,,,,,,,,,,,,,,
6,Atlético Madrid,es La Liga,2,38.0,29,,,,,,,,,,,,,,,,,,,,,,,,
7,Augsburg,de Bundesliga,2,34.0,43,,,,,,,,,,,,,,,,,,,,,,,,
8,Barcelona,es La Liga,2,38.0,21,,,,,,,,,,,,,,,,,,,,,,,,
9,Bastia,fr Ligue 1,2,38.0,46,,,,,,,,,,,,,,,,,,,,,,,,
10,Bayern Munich,de Bundesliga,2,34.0,18,,,,,,,,,,,,,,,,,,,,,,,,
11,Bordeaux,fr Ligue 1,2,38.0,44,,,,,,,,,,,,,,,,,,,,,,,,
12,Burnley,eng Premier League,1,38.0,53,,,,,,,,,,,,,,,,,,,,,,,,
13,Caen,fr Ligue 1,1,38.0,55,,,,,,,,,,,,,,,,,,,,,,,,
14,Cagliari,it Serie A,3,38.0,68,,,,,,,,,,,,,,,,,,,,,,,,
15,Celta Vigo,es La Liga,2,38.0,44,,,,,,,,,,,,,,,,,,,,,,,,
16,Cesena,it Serie A,3,38.0,73,,,,,,,,,,,,,,,,,,,,,,,,
17,Chelsea,eng Premier League,2,38.0,32,,,,,,,,,,,,,,,,,,,,,,,,
18,Chievo,it Serie A,2,38.0,41,,,,,,,,,,,,,,,,,,,,,,,,
19,Córdoba,es La Liga,2,38.0,68,,,,,,,,,,,,,,,,,,,,,,,,
20,Crystal Palace,eng Premier League,2,38.0,51,,,,,,,,,,,,,,,,,,,,,,,,
