Rk,Squad,Comp,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
1,Almería,es La Liga,2,38,38,3420,38.0,64,1.68,213,149,70.0,8,8,22,8,21.1,,,,,
2,Arsenal,eng Premier League,3,38,38,3420,38.0,36,0.95,128,92,71.9,22,9,7,13,34.2,,,,,
3,Aston Villa,eng Premier League,3,38,38,3420,38.0,57,1.5,168,111,66.1,10,8,20,10,26.3,,,,,
4,Atalanta,it Serie A,3,38,38,3420,38.0,57,1.5,159,102,64.2,7,16,15,8,21.1,,,,,
5,Athletic Club,es La Liga,2,38,38,3420,38.0,41,1.08,140,99,70.7,15,10,13,14,36.8,,,,,
6,Atlético Madrid,es La Liga,2,38,38,3420,38.0,29,0.76,95,66,69.5,23,9,6,19,50.0,,,,,
7,Augsburg,de Bundesliga,2,34,34,3060,34.0,43,1.26,162,119,73.5,15,4,15,10,29.4,,,,,
8,Barcelona,es La Liga,2,38,38,3420,38.0,21,0.55,91,70,76.9,30,4,4,23,60.5,,,,,
9,Bastia,fr Ligue 1,2,38,38,3420,38.0,46,1.21,154,108,70.1,12,11,15,12,31.6,,,,,
10,Bayern Munich,de Bundesliga,2,34,34,3060,34.0,18,0.53,99,81,81.8,25,4,5,22,64.7,,,,,
11,Bordeaux,fr Ligue 1,2,38,38,3420,38.0,44,1.16,140,96,68.6,17,12,9,9,23.7,,,,,
12,Burnley,eng Premier League,1,38,38,3420,38.0,53,1.39,178,125,70.2,7,12,19,10,26.3,,,,,
13,Caen,fr Ligue 1,1,38,38,3420,38.0,55,1.45,177,122,68.9,12,10,16,7,18.4,,,,,
14,Cagliari,it Serie A,3,38,38,3420,38.0,68,1.79,186,118,63.4,8,10,20,4,10.5,,,,,
15,Celta Vigo,es La Liga,2,38,38,3420,38.0,44,1.16,148,104,70.3,13,12,13,10,26.3,,,,,
16,Cesena,it Serie A,3,38,38,3420,38.0,73,1.92,197,124,62.9,4,12,22,4,10.5,,,,,
17,Chelsea,eng Premier League,2,38,38,3420,38.0,32,0.84,121,89,73.6,26,9,3,17,44.7,,,,,
18,Chievo,it Serie A,2,38,38,3420,38.0,41,1.08,146,105,71.9,10,13,15,14,36.8,,,,,
19,Córdoba,es La Liga,2,38,38,3420,38.0,68,1.79,187,119,63.6,3,11,24,7,18.4,,,,,
20,Crystal Palace,eng Premier League,2,38,38,3420,38.0,51,1.34,144,93,64.6,13,9,16,7,18.4,,,,,
21,Dortmund,de Bundesliga,2,34,34,3060,34.0,42,1.24,109,67,61.5,13,7,14,10,29.4,,,,,
22,Eibar,es La Liga,2,38,38,3420,38.0,55,1.45,193,138,71.5,9,8,21,8,21.1,,,,,
23,Eint Frankfurt,de Bundesliga,3,34,34,3060,34.0,62,1.82,176,114,64.8,11,10,13,6,17.6,,,,,
24,Elche,es La Liga,2,38,38,3415,38.0,62,1.63,180,118,65.6,11,8,19,9,23.7,,,,,
25,Empoli,it Serie A,2,38,38,3420,38.0,52,1.37,167,115,68.9,8,18,12,10,26.3,,,,,
26,Espanyol,es La Liga,2,38,38,3420,38.0,51,1.34,167,116,69.5,13,10,15,13,34.2,,,,,
27,Everton,eng Premier League,2,38,38,3420,38.0,50,1.32,128,78,60.9,12,11,15,10,26.3,,,,,
28,Evian,fr Ligue 1,2,38,38,3420,38.0,62,1.63,166,104,62.7,11,4,23,9,23.7,,,,,
29,Fiorentina,it Serie A,2,38,38,3420,38.0,46,1.21,162,116,71.6,18,10,10,11,28.9,,,,,
30,Freiburg,de Bundesliga,1,34,34,3060,34.0,47,1.38,208,161,77.4,7,13,14,9,26.5,,,,,
31,Genoa,it Serie A,2,38,38,3420,38.0,47,1.24,205,158,77.1,16,11,11,8,21.1,,,,,
32,Getafe,es La Liga,3,38,38,3420,38.0,64,1.68,174,110,63.2,10,7,21,5,13.2,,,,,
33,Gladbach,de Bundesliga,1,34,34,3060,34.0,26,0.76,157,131,83.4,19,9,6,15,44.1,,,,,
34,Granada,es La Liga,3,38,38,3420,38.0,64,1.68,159,95,59.7,7,14,17,11,28.9,,,,,
35,Guingamp,fr Ligue 1,2,38,38,3419,38.0,55,1.45,171,116,67.8,15,4,19,9,23.7,,,,,
36,Hamburger SV,de Bundesliga,2,34,34,3060,34.0,50,1.47,194,144,74.2,9,8,17,10,29.4,,,,,
37,Hannover 96,de Bundesliga,1,34,34,3060,34.0,56,1.65,169,113,66.9,9,10,15,7,20.6,,,,,
38,Hellas Verona,it Serie A,3,38,38,3420,38.0,65,1.71,203,138,68.0,11,13,14,7,18.4,,,,,
39,Hertha BSC,de Bundesliga,3,34,34,3060,34.0,52,1.53,153,101,66.0,9,8,17,10,29.4,,,,,
40,Hoffenheim,de Bundesliga,1,34,34,3060,34.0,55,1.62,165,110,66.7,12,8,14,8,23.5,,,,,
41,Hull City,eng Premier League,3,38,38,3420,38.0,51,1.34,153,102,66.7,8,11,19,10,26.3,,,,,
42,Inter,it Serie A,2,38,38,3420,38.0,48,1.26,150,102,68.0,14,13,11,11,28.9,,,,,
43,Juventus,it Serie A,2,38,38,3420,38.0,24,0.63,103,79,76.7,26,9,3,19,50.0,,,,,
44,Köln,de Bundesliga,2,34,34,3060,34.0,40,1.18,159,119,74.8,9,13,12,13,38.2,,,,,
45,La Coruña,es La Liga,2,38,38,3420,38.0,60,1.58,185,125,67.6,7,14,17,12,31.6,,,,,
46,Lazio,it Serie A,2,38,38,3420,38.0,38,1.0,152,114,75.0,21,6,11,14,36.8,,,,,
47,Leicester City,eng Premier League,3,38,38,3420,38.0,55,1.45,172,117,68.0,11,8,19,10,26.3,,,,,
48,Lens,fr Ligue 1,3,38,38,3420,38.0,61,1.61,175,114,65.1,7,8,23,9,23.7,,,,,
49,Levante,es La Liga,2,38,38,3420,38.0,67,1.76,180,113,62.8,9,10,19,7,18.4,,,,,
50,Leverkusen,de Bundesliga,1,34,34,3060,34.0,37,1.09,116,79,68.1,17,10,7,16,47.1,,,,,
51,Lille,fr Ligue 1,1,38,38,3420,38.0,42,1.11,137,95,69.3,16,8,14,14,36.8,,,,,
52,Liverpool,eng Premier League,2,38,38,3420,38.0,48,1.26,139,91,65.5,18,8,12,14,36.8,,,,,
53,Lorient,fr Ligue 1,2,38,38,3420,38.0,50,1.32,181,131,72.4,12,7,19,10,26.3,,,,,
54,Lyon,fr Ligue 1,1,38,38,3420,38.0,33,0.87,139,106,76.3,22,9,7,16,42.1,,,,,
55,Mainz 05,de Bundesliga,2,34,34,3060,34.0,47,1.38,178,131,73.6,9,13,12,10,29.4,,,,,
56,Málaga,es La Liga,1,38,38,3420,38.0,48,1.26,152,104,68.4,14,8,16,10,26.3,,,,,
57,Manchester City,eng Premier League,2,38,38,3420,38.0,38,1.0,128,90,70.3,24,7,7,14,36.8,,,,,
58,Manchester Utd,eng Premier League,2,38,38,3420,38.0,37,0.97,134,97,72.4,20,10,8,11,28.9,,,,,
59,Marseille,fr Ligue 1,1,38,38,3420,38.0,42,1.11,144,102,70.8,21,6,11,12,31.6,,,,,
60,Metz,fr Ligue 1,3,38,38,3420,38.0,61,1.61,155,94,60.6,7,9,22,9,23.7,,,,,
61,Milan,it Serie A,2,38,38,3420,38.0,50,1.32,173,123,71.1,13,13,12,8,21.1,,,,,
62,Monaco,fr Ligue 1,2,38,38,3420,38.0,26,0.68,109,83,76.1,20,11,7,20,52.6,,,,,
63,Montpellier,fr Ligue 1,3,38,38,3420,38.0,39,1.03,154,115,74.7,16,8,14,15,39.5,,,,,
64,Nantes,fr Ligue 1,2,38,38,3420,38.0,40,1.05,140,100,71.4,11,12,15,11,28.9,,,,,
65,Napoli,it Serie A,2,38,38,3420,38.0,54,1.42,130,76,58.5,18,9,11,9,23.7,,,,,
