Rk,Squad,Comp,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
1,Alavés,es La Liga,2,38,38,3420,38.0,50,1.32,167,119,73.7,13,11,14,8,21.1,6,6,0,0,0.0
2,Amiens,fr Ligue 1,1,38,38,3420,38.0,52,1.37,166,114,72.3,9,11,18,11,28.9,9,6,2,1,25.0
3,Angers,fr Ligue 1,2,38,38,3419,38.0,49,1.29,165,116,72.1,10,16,12,13,34.2,5,3,2,0,40.0
4,Arsenal,eng Premier League,2,38,38,3420,38.0,51,1.34,182,132,75.8,21,7,10,8,21.1,7,7,0,0,0.0
5,Atalanta,it Serie A,3,38,38,3420,38.0,46,1.21,133,90,68.4,20,9,9,9,23.7,5,4,0,1,0.0
6,Athletic Club,es La Liga,2,38,38,3420,38.0,45,1.18,120,75,66.7,13,14,11,10,26.3,5,5,0,0,0.0
7,Atlético Madrid,es La Liga,2,38,38,3420,38.0,29,0.76,136,109,82.4,22,10,6,20,52.6,5,5,0,0,0.0
8,Augsburg,de Bundesliga,3,34,34,3060,34.0,71,2.09,190,120,63.2,8,8,18,5,14.7,2,1,1,0,50.0
9,Barcelona,es La Liga,2,38,38,3420,38.0,36,0.95,130,95,73.8,26,9,3,17,44.7,2,2,0,0,0.0
10,Bayern Munich,de Bundesliga,2,34,34,3060,34.0,32,0.94,79,48,65.8,24,6,4,12,35.3,6,5,0,1,0.0
11,Betis,es La Liga,2,38,38,3420,38.0,52,1.37,155,102,69.0,14,8,16,11,28.9,5,4,1,0,20.0
12,Bologna,it Serie A,1,38,38,3420,38.0,56,1.47,173,118,69.9,11,11,16,10,26.3,4,4,0,0,0.0
13,Bordeaux,fr Ligue 1,2,38,38,3420,38.0,42,1.11,153,110,76.5,10,11,17,10,26.3,7,6,1,0,14.3
14,Bournemouth,eng Premier League,3,38,38,3420,38.0,70,1.84,173,106,62.4,13,6,19,10,26.3,5,5,0,0,0.0
15,Brighton,eng Premier League,2,38,38,3420,38.0,60,1.58,170,110,70.6,9,9,20,7,18.4,10,10,0,0,0.0
16,Burnley,eng Premier League,2,38,38,3420,38.0,68,1.79,199,134,66.8,11,7,20,8,21.1,3,2,1,0,33.3
17,Caen,fr Ligue 1,1,38,38,3420,38.0,54,1.42,193,139,75.1,7,12,19,9,23.7,8,6,2,0,25.0
18,Cagliari,it Serie A,1,38,38,3420,38.0,54,1.42,205,151,77.6,10,11,17,7,18.4,10,8,2,0,20.0
19,Cardiff City,eng Premier League,1,38,38,3420,38.0,69,1.82,207,135,68.6,10,4,24,10,26.3,7,4,3,0,42.9
20,Celta Vigo,es La Liga,2,38,38,3420,38.0,62,1.63,167,106,66.5,10,11,17,8,21.1,7,6,0,1,0.0
21,Chelsea,eng Premier League,2,38,38,3420,38.0,39,1.03,124,84,69.4,21,9,8,16,42.1,2,1,1,0,50.0
22,Chievo,it Serie A,3,38,38,3420,38.0,75,1.97,211,136,65.4,2,14,22,7,18.4,4,2,2,0,50.0
23,Crystal Palace,eng Premier League,3,38,38,3420,38.0,53,1.39,163,110,69.9,14,7,17,12,31.6,5,4,1,0,20.0
24,Dijon,fr Ligue 1,2,38,38,3420,38.0,60,1.58,171,112,66.7,9,7,22,6,15.8,3,3,0,0,0.0
25,Dortmund,de Bundesliga,2,34,34,3060,34.0,44,1.29,134,90,70.1,23,7,4,10,29.4,5,4,0,1,0.0
26,Düsseldorf,de Bundesliga,2,34,34,3060,34.0,65,1.91,179,114,67.6,13,5,16,5,14.7,7,7,0,0,0.0
27,Eibar,es La Liga,2,38,38,3420,38.0,50,1.32,132,82,64.4,11,14,13,9,23.7,4,3,1,0,25.0
28,Eint Frankfurt,de Bundesliga,2,34,34,3060,34.0,48,1.41,165,118,71.5,15,9,10,9,26.5,1,1,0,0,0.0
29,Empoli,it Serie A,3,38,38,3420,38.0,70,1.84,235,166,72.8,10,8,20,5,13.2,8,6,1,1,14.3
30,Espanyol,es La Liga,1,38,38,3420,38.0,50,1.32,167,117,73.7,14,11,13,10,26.3,8,6,2,0,25.0
31,Everton,eng Premier League,1,38,38,3420,38.0,46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,0,60.0
32,Fiorentina,it Serie A,3,38,38,3420,38.0,45,1.18,147,104,72.8,8,17,13,9,23.7,6,5,1,0,16.7
33,Freiburg,de Bundesliga,2,34,34,3060,34.0,61,1.79,175,114,69.1,8,12,14,5,14.7,7,7,0,0,0.0
34,Frosinone,it Serie A,2,38,38,3420,38.0,69,1.82,213,145,70.0,5,10,23,9,23.7,5,5,0,0,0.0
35,Fulham,eng Premier League,3,38,38,3420,38.0,81,2.13,226,146,66.4,7,5,26,5,13.2,7,5,1,1,16.7
36,Genoa,it Serie A,3,38,38,3420,38.0,57,1.5,170,113,69.4,8,14,16,7,18.4,6,5,1,0,16.7
37,Getafe,es La Liga,2,38,38,3420,38.0,35,0.92,134,99,76.9,15,14,9,13,34.2,6,4,1,1,20.0
38,Girona,es La Liga,2,38,38,3420,38.0,53,1.39,206,154,78.2,9,10,19,9,23.7,8,8,0,0,0.0
39,Gladbach,de Bundesliga,1,34,34,3060,34.0,42,1.24,156,114,75.0,16,7,11,13,38.2,3,3,0,0,0.0
40,Guingamp,fr Ligue 1,2,38,38,3420,38.0,68,1.79,171,101,62.0,5,12,21,10,26.3,6,3,2,1,40.0
41,Hannover 96,de Bundesliga,3,34,34,3060,34.0,71,2.09,226,155,71.2,5,6,23,5,14.7,7,6,1,0,14.3
42,Hertha BSC,de Bundesliga,2,34,34,3060,34.0,57,1.68,159,103,66.7,11,10,13,9,26.5,6,4,1,1,20.0
43,Hoffenheim,de Bundesliga,2,34,34,3060,34.0,52,1.53,173,122,74.0,13,12,9,5,14.7,7,7,0,0,0.0
44,Huddersfield,eng Premier League,3,38,38,3420,38.0,76,2.0,186,110,62.9,3,7,28,5,13.2,8,7,1,0,12.5
45,Huesca,es La Liga,3,38,38,3420,38.0,65,1.71,174,112,67.8,7,12,19,6,15.8,9,9,0,0,0.0
46,Inter,it Serie A,1,38,38,3420,38.0,33,0.87,127,97,76.4,20,9,9,17,44.7,5,3,0,2,0.0
47,Juventus,it Serie A,3,38,38,3420,38.0,30,0.79,111,81,74.8,28,6,4,16,42.1,4,2,1,1,33.3
48,Lazio,it Serie A,3,38,38,3420,38.0,46,1.21,149,105,72.5,17,8,13,10,26.3,6,5,1,0,16.7
49,Leganés,es La Liga,2,38,38,3420,38.0,43,1.13,134,91,70.1,11,12,15,11,28.9,4,3,1,0,25.0
50,Leicester City,eng Premier League,1,38,38,3420,38.0,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0.0
51,Levante,es La Liga,3,38,38,3420,38.0,66,1.74,226,161,74.3,11,11,16,7,18.4,9,8,1,0,11.1
52,Leverkusen,de Bundesliga,2,34,34,3060,34.0,52,1.53,139,88,65.5,18,4,12,9,26.5,6,4,2,0,33.3
53,Lille,fr Ligue 1,1,38,38,3420,38.0,33,0.87,125,90,78.4,22,9,7,15,39.5,10,6,2,2,25.0
54,Liverpool,eng Premier League,1,38,38,3420,38.0,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,
55,Lyon,fr Ligue 1,2,38,38,3420,38.0,47,1.24,149,105,71.8,21,9,8,10,26.3,5,5,0,0,0.0
56,Mainz 05,de Bundesliga,2,34,34,3060,34.0,57,1.68,173,116,68.8,12,7,15,7,20.6,4,3,0,1,0.0
57,Manchester City,eng Premier League,1,38,38,3420,38.0,23,0.61,81,58,76.5,32,2,4,20,52.6,4,4,0,0,0.0
58,Manchester Utd,eng Premier League,1,38,38,3420,38.0,54,1.42,171,120,71.9,19,9,10,7,18.4,6,6,0,0,0.0
59,Marseille,fr Ligue 1,2,38,38,3416,38.0,52,1.37,138,84,69.6,18,7,13,12,31.6,12,10,2,0,16.7
60,Milan,it Serie A,2,38,38,3420,38.0,36,0.95,140,104,77.1,19,11,8,12,31.6,5,4,1,0,20.0
61,Monaco,fr Ligue 1,3,38,38,3420,38.0,57,1.5,147,89,64.6,8,12,18,8,21.1,8,5,3,0,37.5
62,Montpellier,fr Ligue 1,2,38,38,3420,38.0,42,1.11,144,103,72.9,15,14,9,12,31.6,5,3,1,1,25.0
63,Nantes,fr Ligue 1,3,38,38,3420,38.0,48,1.26,130,78,66.2,13,9,16,8,21.1,8,4,4,0,50.0
64,Napoli,it Serie A,3,38,38,3417,38.0,36,0.95,137,101,76.6,24,7,7,14,36.8,4,4,0,0,0.0
65,Newcastle Utd,eng Premier League,1,38,38,3420,38.0,48,1.26,140,93,70.0,12,9,17,11,28.9,6,6,0,0,0.0
66,Nice,fr Ligue 1,2,38,38,3420,38.0,35,0.92,155,118,79.4,15,11,12,16,42.1,6,3,3,0,50.0
67,Nîmes,fr Ligue 1,1,38,38,3420,38.0,58,1.53,180,122,70.0,15,8,15,10,26.3,5,4,1,0,20.0
68,Nürnberg,de Bundesliga,2,34,34,3060,34.0,68,2.0,179,112,63.1,3,10,21,4,11.8,4,2,1,1,33.3
69,Paris S-G,fr Ligue 1,2,38,38,3420,38.0,35,0.92,131,99,77.1,29,4,5,17,44.7,6,5,1,0,16.7
70,Parma,it Serie A,2,38,38,3420,38.0,61,1.61,205,149,74.1,10,11,17,10,26.3,8,8,0,0,0.0
71,Rayo Vallecano,es La Liga,2,38,38,3420,38.0,70,1.84,182,109,65.4,8,8,22,7,18.4,11,7,4,0,36.4
72,RB Leipzig,de Bundesliga,2,34,34,3060,34.0,29,0.85,121,93,80.2,19,9,6,16,47.1,6,5,0,1,0.0
73,Real Madrid,es La Liga,3,38,38,3420,38.0,46,1.21,138,91,71.0,21,5,12,12,31.6,8,6,1,1,14.3
74,Real Sociedad,es La Liga,2,38,38,3420,38.0,46,1.21,142,97,69.0,13,11,14,9,23.7,3,2,1,0,33.3
75,Reims,fr Ligue 1,1,38,38,3420,38.0,42,1.11,150,110,76.7,13,16,9,14,36.8,7,7,0,0,0.0
76,Rennes,fr Ligue 1,2,38,38,3420,38.0,52,1.37,158,106,69.6,13,13,12,11,28.9,5,4,1,0,20.0
77,Roma,it Serie A,2,38,38,3420,38.0,48,1.26,164,116,73.2,18,12,8,10,26.3,7,4,1,2,20.0
78,Saint-Étienne,fr Ligue 1,2,38,38,3420,38.0,41,1.08,153,112,77.8,19,9,10,13,34.2,9,7,1,1,12.5
79,Sampdoria,it Serie A,2,38,38,3420,38.0,51,1.34,149,98,70.5,15,8,15,13,34.2,8,7,1,0,12.5
80,Sassuolo,it Serie A,2,38,38,3415,38.0,60,1.58,167,106,66.5,9,16,13,12,31.6,8,4,3,1,42.9
81,Schalke 04,de Bundesliga,2,34,34,3057,34.0,55,1.62,166,111,69.9,8,9,17,7,20.6,6,5,1,0,16.7
82,Sevilla,es La Liga,3,38,38,3419,38.0,47,1.24,156,108,73.7,17,8,13,10,26.3,7,6,1,0,14.3
83,Southampton,eng Premier League,3,38,38,3420,38.0,65,1.71,175,112,64.0,9,12,17,7,18.4,3,2,1,0,33.3
84,SPAL,it Serie A,4,38,38,3417,38.0,56,1.47,176,120,71.0,11,9,18,10,26.3,5,5,0,0,0.0
85,Strasbourg,fr Ligue 1,2,38,38,3420,38.0,48,1.26,149,100,72.5,11,16,11,9,23.7,9,7,2,0,22.2
86,Stuttgart,de Bundesliga,1,34,34,3060,34.0,70,2.06,179,113,62.0,7,7,20,6,17.6,3,2,0,1,0.0
87,Torino,it Serie A,2,38,38,3420,38.0,37,0.97,145,106,76.6,16,15,7,15,39.5,5,3,2,0,40.0
88,Tottenham,eng Premier League,3,38,38,3420,38.0,39,1.03,156,118,76.9,23,2,13,13,34.2,5,3,2,0,40.0
89,Toulouse,fr Ligue 1,2,38,38,3416,38.0,57,1.5,178,121,70.8,8,14,16,9,23.7,6,5,1,0,16.7
90,Udinese,it Serie A,2,38,38,3420,38.0,53,1.39,182,130,75.8,11,10,17,9,23.7,9,9,0,0,0.0
91,Valencia,es La Liga,2,38,38,3420,38.0,35,0.92,152,118,81.6,15,16,7,13,34.2,8,7,1,0,12.5
92,Valladolid,es La Liga,2,38,38,3420,38.0,51,1.34,155,102,71.0,10,11,17,9,23.7,9,6,3,0,33.3
93,Villarreal,es La Liga,2,38,38,3420,38.0,52,1.37,185,135,73.5,10,14,14,11,28.9,5,3,1,1,25.0
94,Watford,eng Premier League,1,38,38,3420,38.0,59,1.55,180,123,69.4,14,8,16,7,18.4,5,4,1,0,20.0
95,Werder Bremen,de Bundesliga,3,34,34,3060,34.0,49,1.44,157,108,71.3,14,11,9,5,14.7,5,4,0,1,0.0
96,West Ham,eng Premier League,1,38,38,3420,38.0,55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,0,20.0
97,Wolfsburg,de Bundesliga,2,34,34,3060,34.0,50,1.47,159,108,71.1,16,7,11,9,26.5,6,4,1,1,20.0
98,Wolves,eng Premier League,3,38,38,3420,38.0,46,1.21,141,99,69.5,16,9,13,9,23.7,4,3,0,1,0.0
