Squad,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
nl Ajax,19,24.9,6,540,90,100,6.0,66,85,,17,16,25,1.67,12,6,+6,+1.00,7.5,13.8,-6.3,-1.05
it Atalanta,23,27.4,9,810,90,100,9.0,99,84,,28,22,40,1.44,17,18,-1,-0.11,17.7,18.9,-1.2,-0.14
es Atlético Madrid,21,26.2,9,840,93,100,9.3,99,86,,28,25,40,1.78,13,9,+4,+0.43,15.3,9.1,+6.1,+0.66
es Barcelona,24,27.6,9,810,90,100,9.0,99,84,,24,24,48,2.00,15,14,+1,+0.11,14.4,17.9,-3.5,-0.39
de Bayern Munich,20,27.0,11,990,90,100,11.0,121,83,,40,20,56,3.00,43,8,+35,+3.18,35.5,10.2,+25.3,+2.30
pt Benfica,23,24.9,6,540,90,100,6.0,66,84,,18,23,24,1.17,10,11,-1,-0.17,8.1,9.4,-1.3,-0.22
eng Chelsea,22,25.5,8,720,90,100,8.0,88,84,,22,22,38,1.38,12,16,-4,-0.50,17.5,12.7,+4.7,+0.59
be Club Brugge,22,25.4,6,540,90,100,6.0,66,85,,17,19,25,0.50,4,12,-8,-1.33,7.4,10.4,-3.0,-0.51
hr Dinamo Zagreb,21,25.7,6,540,90,100,6.0,66,86,,18,15,24,0.83,10,13,-3,-0.50,7.5,16.3,-8.8,-1.46
de Dortmund,24,25.8,8,720,90,100,8.0,88,87,,22,13,34,1.63,10,11,-1,-0.12,14.4,13.1,+1.4,+0.17
tr Galatasaray,20,29.7,6,540,90,100,6.0,66,84,,18,22,24,0.33,1,14,-13,-2.17,4.2,16.4,-12.2,-2.03
be Genk,20,23.5,6,540,90,100,6.0,66,86,,17,16,25,0.17,5,20,-15,-2.50,6.9,18.2,-11.3,-1.88
it Inter,20,27.9,6,540,90,100,6.0,66,85,,18,19,24,1.17,10,9,+1,+0.17,10.0,10.3,-0.3,-0.05
it Juventus,23,28.7,8,720,90,100,8.0,88,85,,25,17,35,2.38,14,6,+8,+1.00,12.0,10.9,+1.2,+0.15
de Leverkusen,20,26.7,6,540,90,100,6.0,66,85,,17,19,25,1.00,5,9,-4,-0.67,6.7,6.8,0.0,-0.01
fr Lille,21,23.9,6,540,90,100,6.0,66,85,,18,17,24,0.17,4,14,-10,-1.67,8.8,10.1,-1.3,-0.22
eng Liverpool,20,27.0,8,750,94,100,8.3,88,88,,24,21,32,1.63,15,12,+3,+0.36,16.2,8.8,+7.4,+0.89
ru Loko Moscow,20,28.6,6,540,90,100,6.0,66,87,,11,16,31,0.50,4,11,-7,-1.17,6.0,13.1,-7.0,-1.17
fr Lyon,24,25.0,10,900,90,100,10.0,110,84,,34,18,51,1.40,14,14,0,0.00,12.7,18.4,-5.7,-0.57
eng Manchester City,23,26.9,9,810,90,100,9.0,99,85,,24,19,49,2.22,21,9,+12,+1.33,25.1,7.9,+17.2,+1.91
it Napoli,24,27.1,8,720,90,100,8.0,88,84,,26,21,35,1.63,13,8,+5,+0.62,14.9,11.0,+3.9,+0.48
gr Olympiacos,17,26.2,6,540,90,100,6.0,66,85,,18,15,24,0.67,8,14,-6,-1.00,7.9,12.1,-4.3,-0.71
fr Paris S-G,24,27.4,11,990,90,100,11.0,121,85,,35,17,57,2.27,25,6,+19,+1.73,26.2,12.3,+13.9,+1.27
de RB Leipzig,25,24.2,10,900,90,100,10.0,110,83,,33,25,47,2.00,16,12,+4,+0.40,18.0,13.0,+5.0,+0.50
at RB Salzburg,21,24.1,6,540,90,100,6.0,66,84,,18,21,24,1.17,16,13,+3,+0.50,13.7,11.9,+1.8,+0.30
es Real Madrid,25,27.3,8,720,90,100,8.0,88,85,,25,19,36,1.38,16,12,+4,+0.50,16.6,13.7,+2.8,+0.36
rs Red Star,19,27.5,6,540,90,100,6.0,66,83,,18,25,24,0.50,3,20,-17,-2.83,4.0,19.8,-15.8,-2.64
ua Shakhtar,18,28.4,6,540,90,100,6.0,66,86,,17,15,25,1.00,8,13,-5,-0.83,8.3,13.1,-4.8,-0.81
cz Slavia Prague,20,26.9,6,540,90,100,6.0,66,85,,18,20,24,0.33,4,10,-6,-1.00,9.4,12.2,-2.8,-0.46
eng Tottenham,28,26.2,8,720,90,100,8.0,88,85,,22,20,34,1.25,18,18,0,0.00,14.5,11.2,+3.3,+0.42
es Valencia,23,27.2,8,720,90,100,8.0,88,84,,22,22,34,1.38,13,15,-2,-0.25,14.7,15.7,-1.0,-0.13
ru Zenit,19,28.1,6,540,90,100,6.0,66,84,,18,19,24,1.17,7,9,-2,-0.33,6.1,9.5,-3.3,-0.55
