Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
1,Alavés,es La Liga,29,38.0,107,5,2,623,476,77,798,309,459,8,11,2,1499,639,694,47.9
2,Angers,fr Ligue 1,30,34.0,49,2,0,380,398,69,575,336,392,6,5,0,1414,334,428,43.8
3,Arsenal,eng Premier League,25,38.0,70,6,3,401,405,80,766,225,348,2,3,0,1436,471,465,50.3
4,Aston Villa,eng Premier League,28,38.0,76,4,2,406,499,55,604,240,372,6,3,0,1418,378,423,47.2
5,Atalanta,it Serie A,32,38.0,67,1,1,435,393,54,778,296,347,5,2,2,1732,585,490,54.4
6,Athletic Club,es La Liga,31,38.0,64,3,1,483,386,68,772,344,345,5,5,1,1735,496,514,49.1
7,Atlético Madrid,es La Liga,24,38.0,75,3,0,412,427,72,675,260,375,4,5,2,1563,445,420,51.4
8,Augsburg,de Bundesliga,29,34.0,78,5,2,351,373,59,578,341,300,2,5,2,1441,529,491,51.9
9,Auxerre,fr Ligue 1,29,34.0,68,4,1,404,362,48,542,350,403,4,8,3,1492,412,422,49.4
10,Barcelona,es La Liga,28,38.0,63,3,1,368,465,65,709,227,332,8,4,0,1673,380,339,52.9
11,Bayern Munich,de Bundesliga,29,34.0,48,1,0,295,341,56,612,232,300,6,2,0,1665,418,344,54.9
12,Betis,es La Liga,36,38.0,75,4,0,433,524,56,627,356,397,9,4,1,1679,464,478,49.3
13,Bochum,de Bundesliga,27,34.0,71,2,1,465,293,63,679,294,360,3,6,0,1447,744,665,52.8
14,Bologna,it Serie A,30,38.0,61,4,1,537,604,63,756,258,346,6,3,2,1516,579,616,48.5
15,Bournemouth,eng Premier League,29,38.0,97,3,0,525,400,70,832,351,399,7,4,0,1821,573,606,48.6
16,Brentford,eng Premier League,28,38.0,62,1,0,320,339,63,674,285,380,6,1,3,1644,624,567,52.4
17,Brest,fr Ligue 1,30,34.0,69,3,1,430,413,42,641,316,426,5,10,2,1471,534,508,51.2
18,Brighton,eng Premier League,32,38.0,78,3,2,438,411,46,704,315,431,6,9,2,1624,518,463,52.8
19,Cagliari,it Serie A,28,38.0,68,3,3,500,397,65,758,276,303,2,6,0,1522,606,600,50.2
20,Celta Vigo,es La Liga,30,38.0,84,6,3,462,436,67,501,282,340,6,4,2,1532,375,439,46.1
21,Chelsea,eng Premier League,29,38.0,101,2,1,436,444,65,663,272,371,5,6,0,1577,402,390,50.8
22,Como,it Serie A,38,38.0,87,7,3,503,518,65,568,279,412,1,7,0,1547,472,487,49.2
23,Crystal Palace,eng Premier League,29,38.0,80,4,3,417,403,74,604,333,450,4,2,3,1696,510,636,44.5
24,Dortmund,de Bundesliga,28,34.0,71,6,3,330,343,43,698,249,319,5,4,1,1480,474,418,53.1
25,Eint Frankfurt,de Bundesliga,26,34.0,55,1,1,341,304,57,539,287,341,2,3,2,1486,467,437,51.7
26,Empoli,it Serie A,34,38.0,68,5,2,570,459,57,620,323,396,3,3,1,1480,577,710,44.8
27,Espanyol,es La Liga,27,38.0,88,1,0,498,432,61,619,315,397,5,6,1,1364,493,504,49.4
28,Everton,eng Premier League,26,38.0,82,2,1,430,384,81,682,345,433,1,2,0,1524,614,564,52.1
29,Fiorentina,it Serie A,34,38.0,82,3,2,440,550,88,588,275,313,6,3,1,1436,508,487,51.1
30,Freiburg,de Bundesliga,26,34.0,54,2,1,316,325,61,589,276,317,3,4,1,1368,596,608,49.5
31,Fulham,eng Premier League,26,38.0,80,2,0,432,359,43,894,302,411,3,4,2,1610,533,532,50.0
32,Genoa,it Serie A,37,38.0,71,1,0,497,448,55,663,308,385,1,8,3,1481,666,696,48.9
33,Getafe,es La Liga,30,38.0,110,7,3,602,506,90,721,276,393,3,9,0,1436,771,738,51.1
34,Girona,es La Liga,30,38.0,76,2,0,437,439,79,804,279,348,4,6,1,1443,321,344,48.3
35,Gladbach,de Bundesliga,26,34.0,53,3,2,339,326,65,617,317,284,5,8,2,1308,530,473,52.8
36,Heidenheim,de Bundesliga,27,34.0,66,1,0,385,390,50,581,312,356,3,6,0,1420,553,646,46.1
37,Hellas Verona,it Serie A,32,38.0,98,9,5,579,352,55,562,329,434,1,4,1,1427,671,699,49.0
