Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
1,Alavés,es La Liga,29,26.6,38,3420,90,100,38.0,418,82,254,161,21,275,1.11,38,48,-10,-0.26,42.8,47.0,-4.2,-0.11
2,Angers,fr Ligue 1,30,27.5,34,3060,90,100,34.0,374,81,216,157,20,148,1.06,32,53,-21,-0.62,36.0,57.8,-21.8,-0.64
3,Arsenal,eng Premier League,25,25.8,38,3420,90,100,38.0,418,83,272,142,18,200,1.95,69,34,35,0.92,59.9,34.4,25.5,0.67
4,Aston Villa,eng Premier League,28,27.0,38,3420,90,100,38.0,418,80,246,170,23,170,1.74,58,51,7,0.18,56.1,50.1,5.9,0.16
5,Atalanta,it Serie A,32,27.1,38,3420,90,100,38.0,418,79,233,185,24,250,1.95,78,37,41,1.08,65.0,38.6,26.4,0.69
6,Athletic Club,es La Liga,31,26.9,38,3420,90,100,38.0,418,80,226,189,23,253,1.84,54,29,25,0.66,53.0,37.8,15.2,0.4
7,Atlético Madrid,es La Liga,24,28.4,38,3420,90,100,38.0,418,78,228,188,27,242,2.0,68,30,38,1.0,64.6,33.4,31.2,0.82
8,Augsburg,de Bundesliga,29,26.8,34,3060,90,100,34.0,374,80,213,157,23,147,1.26,35,51,-16,-0.47,34.7,48.9,-14.2,-0.42
9,Auxerre,fr Ligue 1,29,25.9,34,3060,90,100,34.0,374,83,215,155,16,151,1.24,48,51,-3,-0.09,41.0,58.6,-17.6,-0.52
10,Barcelona,es La Liga,28,24.7,38,3420,90,100,38.0,418,80,237,180,22,254,2.32,102,39,63,1.66,91.5,41.9,49.5,1.3
11,Bayern Munich,de Bundesliga,29,27.7,34,3060,90,100,34.0,374,82,224,150,21,155,2.41,99,32,67,1.97,81.7,25.5,56.2,1.65
12,Betis,es La Liga,36,27.5,38,3420,90,100,38.0,418,80,237,179,22,230,1.58,57,50,7,0.18,54.6,50.6,4.0,0.11
13,Bochum,de Bundesliga,27,28.0,34,3060,90,100,34.0,374,81,218,154,20,152,0.74,33,67,-34,-1.0,41.8,63.2,-21.3,-0.63
14,Bologna,it Serie A,30,26.4,38,3420,90,100,38.0,418,80,230,185,21,335,1.63,57,47,10,0.26,49.3,36.7,12.6,0.33
15,Bournemouth,eng Premier League,29,25.1,38,3420,90,100,38.0,418,83,254,162,18,180,1.47,58,46,12,0.32,64.0,48.5,15.5,0.41
16,Brentford,eng Premier League,28,25.8,38,3420,90,100,38.0,418,85,277,142,15,200,1.47,66,57,9,0.24,59.0,55.4,3.6,0.09
17,Brest,fr Ligue 1,30,28.2,34,3060,90,100,34.0,374,82,226,147,20,152,1.47,52,59,-7,-0.21,45.4,57.4,-12.0,-0.35
18,Brighton,eng Premier League,32,24.8,38,3420,90,100,38.0,418,82,231,184,18,158,1.61,66,59,7,0.18,58.7,54.6,4.1,0.11
19,Cagliari,it Serie A,28,26.6,38,3420,90,100,38.0,418,80,233,182,22,307,0.95,40,56,-16,-0.42,42.7,55.3,-12.6,-0.33
20,Celta Vigo,es La Liga,30,26.9,38,3420,90,100,38.0,418,79,227,189,23,265,1.45,59,57,2,0.05,54.2,43.4,10.9,0.29
