Rk,Squad,Comp,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
1,Alavés,es La Liga,29,38.0,690,18.16,465,95,26,41,48,15,61,1.61,39,3,3,7,9,0
2,Angers,fr Ligue 1,30,34.0,546,16.06,389,49,25,33,29,21,55,1.62,34,4,3,4,8,2
3,Arsenal,eng Premier League,25,38.0,969,25.5,726,82,52,64,34,11,119,3.13,86,11,6,11,4,1
4,Aston Villa,eng Premier League,28,38.0,849,22.34,602,85,51,58,39,14,102,2.68,80,7,3,6,4,2
5,Atalanta,it Serie A,32,38.0,966,25.42,736,75,51,71,22,11,131,3.45,105,5,4,13,4,0
6,Athletic Club,es La Liga,31,38.0,832,21.89,630,65,52,38,27,20,92,2.42,63,8,7,8,6,0
7,Atlético Madrid,es La Liga,24,38.0,826,21.74,657,49,39,42,24,15,123,3.24,100,1,7,7,5,3
8,Augsburg,de Bundesliga,29,34.0,704,20.71,505,80,34,43,37,5,63,1.85,42,7,5,5,3,1
9,Auxerre,fr Ligue 1,29,34.0,688,20.24,512,58,35,38,25,20,87,2.56,52,10,8,7,9,1
10,Barcelona,es La Liga,28,38.0,1205,31.71,928,60,79,71,53,14,172,4.53,127,5,17,10,12,1
11,Bayern Munich,de Bundesliga,29,34.0,1168,34.35,902,64,91,63,37,11,161,4.74,108,6,19,16,9,3
12,Betis,es La Liga,36,38.0,944,24.84,718,62,59,48,40,17,100,2.63,72,6,4,9,8,1
13,Bochum,de Bundesliga,27,34.0,739,21.74,535,83,24,50,33,14,53,1.56,30,5,5,8,3,2
14,Bologna,it Serie A,30,38.0,913,24.03,666,84,39,53,51,20,103,2.71,78,3,3,9,7,3
15,Bournemouth,eng Premier League,29,38.0,1012,26.63,767,68,44,70,42,21,93,2.45,62,6,5,8,10,2
16,Brentford,eng Premier League,28,38.0,780,20.53,569,74,40,51,35,11,113,2.97,78,11,5,9,9,1
17,Brest,fr Ligue 1,30,34.0,730,21.47,498,81,25,48,55,23,85,2.5,51,6,4,13,8,3
18,Brighton,eng Premier League,32,38.0,933,24.55,685,70,56,53,55,14,113,2.97,78,7,10,6,10,2
19,Cagliari,it Serie A,28,38.0,748,19.68,516,88,36,66,34,8,71,1.87,54,4,2,5,5,1
