Squad,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
nl Ajax,1,6,6,540,6.0,6,1.00,30,24,86.7,3,1,2,3,50.0,3,2,0,1,0.0
it Atalanta,2,9,9,810,9.0,18,2.00,46,28,63.0,4,1,4,2,22.2,2,1,0,1,0.0
es Atlético Madrid,1,9,9,840,9.3,9,0.96,30,22,70.0,5,1,3,4,44.4,0,0,0,0,
es Barcelona,2,9,9,810,9.0,14,1.56,48,33,72.9,5,3,1,2,22.2,2,1,1,0,50.0
de Bayern Munich,1,11,11,990,11.0,8,0.73,34,27,79.4,11,0,0,6,54.5,1,1,0,0,0.0
pt Benfica,1,6,6,540,6.0,11,1.83,28,18,64.3,2,1,3,1,16.7,1,1,0,0,0.0
eng Chelsea,2,8,8,720,8.0,16,2.00,33,18,54.5,3,2,3,1,12.5,2,1,1,0,50.0
be Club Brugge,1,6,6,540,6.0,12,2.00,26,14,53.8,0,3,3,1,16.7,0,0,0,0,
hr Dinamo Zagreb,1,6,6,540,6.0,13,2.17,35,22,68.6,1,2,3,1,16.7,2,2,0,0,0.0
de Dortmund,1,8,8,720,8.0,11,1.37,37,25,70.3,4,1,3,2,25.0,1,0,1,0,100.0
tr Galatasaray,1,6,6,540,6.0,14,2.33,47,33,74.5,0,2,4,1,16.7,2,2,0,0,0.0
be Genk,2,6,6,540,6.0,20,3.33,41,21,56.1,0,1,5,1,16.7,2,2,0,0,0.0
it Inter,1,6,6,540,6.0,9,1.50,30,21,73.3,2,1,3,1,16.7,1,1,0,0,0.0
it Juventus,2,8,8,720,8.0,6,0.75,23,17,78.3,6,1,1,3,37.5,1,1,0,0,0.0
de Leverkusen,1,6,6,540,6.0,9,1.50,28,19,67.9,2,0,4,1,16.7,0,0,0,0,
fr Lille,2,6,6,540,6.0,14,2.33,32,19,59.4,0,1,5,0,0.0,1,1,0,0,0.0
eng Liverpool,2,8,8,750,8.3,12,1.44,33,21,66.7,4,1,3,1,12.5,1,1,0,0,0.0
ru Loko Moscow,2,6,6,540,6.0,11,1.83,42,32,76.2,1,0,5,0,0.0,2,1,1,0,50.0
fr Lyon,1,10,10,900,10.0,14,1.40,38,24,71.1,4,2,4,2,20.0,3,3,0,0,0.0
eng Manchester City,3,9,9,803,9.0,9,1.01,27,18,70.4,6,2,1,2,22.2,1,1,0,0,0.0
it Napoli,2,8,8,720,8.0,8,1.00,25,17,80.0,3,4,1,3,37.5,3,3,0,0,0.0
gr Olympiacos,1,6,6,540,6.0,14,2.33,35,21,62.9,1,1,4,1,16.7,2,1,0,1,0.0
fr Paris S-G,2,11,11,990,11.0,6,0.55,29,22,79.3,8,1,2,7,63.6,1,0,1,0,100.0
de RB Leipzig,2,10,10,900,10.0,12,1.20,46,34,76.1,6,2,2,3,30.0,1,1,0,0,0.0
at RB Salzburg,2,6,6,540,6.0,13,2.17,29,16,55.2,2,1,3,0,0.0,0,0,0,0,
es Real Madrid,2,8,8,720,8.0,12,1.50,34,22,67.6,3,2,3,2,25.0,1,1,0,0,0.0
rs Red Star,1,6,6,540,6.0,20,3.33,53,33,66.0,1,0,5,0,0.0,2,2,0,0,0.0
ua Shakhtar,1,6,6,540,6.0,13,2.17,33,19,63.6,1,3,2,0,0.0,2,1,1,0,50.0
cz Slavia Prague,1,6,6,540,6.0,10,1.67,35,26,71.4,0,2,4,1,16.7,0,0,0,0,
eng Tottenham,2,8,8,720,8.0,18,2.25,47,29,66.0,3,1,4,2,25.0,2,2,0,0,0.0
es Valencia,2,8,8,720,8.0,15,1.87,39,24,66.7,3,2,3,2,25.0,3,2,0,1,0.0
ru Zenit,2,6,6,540,6.0,9,1.50,38,30,81.6,2,1,3,1,16.7,2,2,0,0,0.0
