Squad,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
nl Ajax,19,6.0,145,24.17,113,9,10,4,3,6,20,3.33,18,1,0,1,0,0
it Atalanta,23,9.0,216,24.00,144,21,18,15,15,3,28,3.11,19,1,3,1,4,0
es Atlético Madrid,21,9.3,222,23.79,158,26,11,11,10,6,23,2.46,15,4,0,2,1,1
es Barcelona,24,9.0,188,20.89,144,8,13,8,13,2,22,2.44,15,1,3,1,1,1
de Bayern Munich,20,11.0,411,37.36,317,23,20,26,14,11,73,6.64,56,2,5,5,3,2
pt Benfica,23,6.0,145,24.17,101,16,8,7,10,3,12,2.00,12,0,0,0,0,0
eng Chelsea,22,8.0,228,28.50,158,20,20,20,7,3,21,2.62,12,1,3,4,1,0
be Club Brugge,22,6.0,111,18.50,79,11,5,6,9,1,6,1.00,5,0,0,0,0,1
hr Dinamo Zagreb,21,6.0,90,15.00,66,4,9,3,6,2,18,3.00,15,0,1,1,1,0
de Dortmund,24,8.0,168,21.00,137,6,7,9,6,3,18,2.25,15,0,1,1,0,1
tr Galatasaray,20,6.0,88,14.67,61,5,8,4,8,2,2,0.33,2,0,0,0,0,0
be Genk,20,6.0,119,19.83,79,14,12,5,8,1,8,1.33,5,1,0,1,1,0
it Inter,20,6.0,131,21.83,99,10,10,3,7,2,16,2.67,13,0,2,1,0,0
it Juventus,23,8.0,197,24.62,142,12,19,7,15,2,21,2.62,16,0,1,3,1,0
de Leverkusen,20,6.0,143,23.83,109,11,8,9,5,1,4,0.67,3,0,0,0,1,0
fr Lille,21,6.0,137,22.83,102,11,8,8,5,3,6,1.00,3,1,1,1,0,0
eng Liverpool,20,8.3,255,30.60,191,16,23,18,4,3,27,3.24,19,1,5,2,0,0
ru Loko Moscow,20,6.0,89,14.83,67,7,5,8,1,1,3,0.50,1,0,0,2,0,0
fr Lyon,24,10.0,207,20.70,146,13,24,9,10,5,25,2.50,18,0,2,1,2,2
eng Manchester City,23,9.0,268,29.78,203,13,25,12,10,5,37,4.11,31,0,2,1,2,1
it Napoli,24,8.0,197,24.62,143,19,7,15,9,4,20,2.50,15,0,1,1,3,0
gr Olympiacos,17,6.0,139,23.17,99,10,20,4,4,2,14,2.33,6,2,2,0,2,2
fr Paris S-G,24,11.0,239,21.73,183,15,13,9,15,4,47,4.27,36,2,3,2,3,1
de RB Leipzig,25,10.0,282,28.20,224,14,13,16,12,3,30,3.00,23,0,0,3,4,0
at RB Salzburg,21,6.0,162,27.00,122,13,11,9,3,4,29,4.83,22,1,2,1,2,1
es Real Madrid,25,8.0,254,31.75,195,21,7,15,12,4,28,3.50,21,1,1,2,2,1
rs Red Star,19,6.0,92,15.33,62,11,7,5,4,3,5,0.83,2,2,0,1,0,0
ua Shakhtar,18,6.0,112,18.67,84,6,9,4,8,1,16,2.67,12,0,3,0,1,0
cz Slavia Prague,20,6.0,147,24.50,105,13,2,8,14,5,7,1.17,5,0,0,1,1,0
eng Tottenham,28,8.0,171,21.38,121,10,11,10,17,2,32,4.00,21,4,1,1,4,1
es Valencia,23,8.0,181,22.62,127,18,8,12,15,1,19,2.37,15,2,0,1,1,0
ru Zenit,19,6.0,106,17.67,81,10,6,5,3,1,11,1.83,7,2,1,0,0,1
