Rk,Squad,Comp,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
1,Alavés,es La Liga,2,38.0,50,7,2,7,2,49.4,0.25,1.4,0.04,330,786,42.0,708,103,65.5,43.4,360,89.4,56.7,657,17,2.6,19,0.5,12.5
2,Amiens,fr Ligue 1,2,38.0,42,4,0,3,0,50.2,0.27,8.2,0.21,336,930,36.1,911,102,63.1,43.9,374,94.9,58.8,653,31,4.7,25,0.66,12.6
3,Angers,fr Ligue 1,3,38.0,52,7,1,3,4,42.8,0.26,-5.2,-0.14,220,625,35.2,750,176,48.5,38.6,306,85.3,56.3,538,31,5.8,31,0.82,16.2
4,Arsenal,eng Premier League,2,38.0,51,5,0,6,0,48.4,0.29,-2.6,-0.07,164,460,35.7,925,250,32.9,34.4,253,61.7,47.3,508,39,7.7,59,1.55,14.4
5,Atalanta,it Serie A,3,38.0,39,1,2,4,0,39.3,0.32,0.3,0.01,206,464,44.4,757,195,32.8,34.5,283,76.3,52.4,487,20,4.1,30,0.79,14.1
6,Athletic Club,es La Liga,2,38.0,49,3,3,5,3,52.0,0.28,6.0,0.16,407,840,48.5,1066,140,57.6,43.6,271,83.4,58.8,525,29,5.5,31,0.82,14.2
7,Atlético Madrid,es La Liga,2,38.0,22,1,1,2,1,33.2,0.23,12.2,0.32,194,581,33.4,635,109,55.0,42.4,289,80.3,54.5,550,26,4.7,14,0.37,11.9
8,Augsburg,de Bundesliga,2,34.0,46,2,2,11,0,45.5,0.26,-0.5,-0.01,274,578,47.4,946,162,44.2,37.8,281,56.9,44.2,471,34,7.2,18,0.53,12.5
9,Barcelona,es La Liga,2,38.0,29,2,0,1,0,37.0,0.26,8.0,0.21,130,310,41.9,1061,197,17.6,27.9,272,45.2,41.3,411,15,3.6,41,1.08,7.7
10,Bayern Munich,de Bundesliga,3,34.0,28,1,1,2,3,28.7,0.26,3.7,0.11,153,369,41.5,921,161,32.1,32.5,179,40.8,39.2,280,17,6.1,42,1.24,15.4
11,Benevento,it Serie A,3,38.0,84,10,1,10,2,79.7,0.34,-2.3,-0.06,225,628,35.8,1007,221,40.8,32.9,344,63.1,46.2,619,51,8.2,51,1.34,14.1
12,Betis,es La Liga,3,38.0,61,3,0,7,4,48.1,0.29,-8.9,-0.24,199,577,34.5,1239,163,32.4,34.5,312,56.4,43.3,584,25,4.3,29,0.76,10.4
13,Bologna,it Serie A,3,38.0,52,3,1,5,3,47.9,0.28,-1.1,-0.03,381,796,47.9,1096,172,47.2,38.5,375,74.4,49.8,715,20,2.8,43,1.13,14.1
14,Bordeaux,fr Ligue 1,2,38.0,48,4,4,5,1,41.6,0.26,-5.4,-0.14,245,651,37.6,900,154,45.4,38.9,307,78.8,54.7,496,30,6.0,35,0.92,14.5
15,Bournemouth,eng Premier League,1,38.0,61,2,2,7,1,54.8,0.31,-5.2,-0.14,223,647,34.5,832,215,45.7,38.9,328,81.4,55.5,611,35,5.7,18,0.47,10.2
16,Brighton,eng Premier League,1,38.0,54,1,1,15,5,48.8,0.28,-0.2,-0.01,345,875,39.4,823,122,66.5,44.5,352,93.2,57.9,623,38,6.1,17,0.45,10.2
17,Burnley,eng Premier League,2,38.0,39,3,0,4,1,47.3,0.28,9.3,0.25,382,1074,35.6,1004,140,76.5,52.1,329,93.0,66.1,662,59,8.9,40,1.05,12.5
18,Caen,fr Ligue 1,2,38.0,52,5,0,5,4,46.8,0.28,-1.2,-0.03,375,822,45.6,875,113,64.2,45.0,290,89.7,57.1,515,17,3.3,20,0.53,12.7
19,Cagliari,it Serie A,3,38.0,61,8,4,4,1,58.3,0.29,-1.7,-0.05,285,651,43.8,698,155,47.9,38.6,376,84.3,54.7,625,30,4.8,18,0.47,10.6
20,Celta Vigo,es La Liga,3,38.0,60,4,0,8,1,49.5,0.29,-9.5,-0.25,247,700,35.3,1154,124,43.4,36.3,280,71.1,53.1,539,14,2.6,38,1.0,14.1
21,Chelsea,eng Premier League,2,38.0,38,2,0,2,2,35.1,0.29,-0.9,-0.02,169,468,36.1,1034,226,32.0,33.8,263,52.1,45.7,479,27,5.6,29,0.76,13.2
22,Chievo,it Serie A,1,38.0,59,4,2,11,4,56.3,0.27,1.3,0.03,249,620,40.2,799,176,45.3,36.8,394,65.5,42.7,651,16,2.5,14,0.37,10.3
23,Crotone,it Serie A,1,38.0,66,6,3,13,0,63.7,0.29,-2.3,-0.06,312,916,34.1,824,98,71.5,47.8,355,92.1,58.6,691,8,1.2,32,0.84,13.8
24,Crystal Palace,eng Premier League,2,38.0,55,2,1,11,2,51.5,0.3,-1.5,-0.04,312,826,37.8,777,110,68.5,47.3,316,93.0,62.8,612,37,6.0,32,0.84,13.4
25,Dijon,fr Ligue 1,1,38.0,73,11,2,6,3,67.2,0.27,-2.8,-0.07,313,727,43.1,1322,227,41.4,36.2,323,55.7,44.8,643,48,7.5,83,2.18,16.8
26,Dortmund,de Bundesliga,2,34.0,47,3,2,4,0,47.0,0.3,0.0,0.0,166,506,32.8,1083,185,32.4,32.4,245,63.3,49.9,419,41,9.8,39,1.15,14.0
27,Eibar,es La Liga,3,38.0,50,4,2,3,3,47.8,0.34,0.8,0.02,359,957,37.5,992,96,73.5,52.4,239,95.4,69.5,379,23,6.1,100,2.63,21.4
28,Eint Frankfurt,de Bundesliga,1,34.0,45,2,2,7,2,41.3,0.3,-1.7,-0.05,271,662,40.9,1058,164,45.0,37.2,241,77.2,56.1,483,46,9.5,59,1.74,15.2
29,Espanyol,es La Liga,2,38.0,42,4,1,5,2,47.2,0.26,7.2,0.19,237,673,35.2,756,172,52.1,39.3,329,84.8,57.2,568,31,5.5,24,0.63,11.3
30,Everton,eng Premier League,1,38.0,58,3,0,6,0,56.1,0.3,-1.9,-0.05,322,945,34.1,984,162,64.0,47.8,340,92.6,67.2,591,27,4.6,51,1.34,14.9
31,Fiorentina,it Serie A,2,38.0,46,2,3,5,0,42.2,0.27,-3.8,-0.1,162,406,39.9,814,208,33.5,32.1,280,47.5,39.1,539,32,5.9,24,0.63,12.1
32,Freiburg,de Bundesliga,2,34.0,56,4,1,7,4,42.8,0.25,-9.2,-0.27,341,836,40.8,1093,130,50.0,40.8,330,87.9,63.4,570,30,5.3,23,0.68,14.2
33,Genoa,it Serie A,2,38.0,43,4,1,2,2,44.3,0.24,3.3,0.09,338,783,43.2,933,126,51.9,40.8,355,84.2,56.0,558,24,4.3,25,0.66,13.1
34,Getafe,es La Liga,2,38.0,33,2,0,3,0,42.3,0.31,9.3,0.24,292,925,31.6,813,80,74.2,52.5,332,97.0,64.3,549,25,4.6,37,0.97,9.9
35,Girona,es La Liga,2,38.0,59,4,3,2,3,57.8,0.32,1.8,0.05,289,797,36.3,828,133,64.4,43.7,296,89.2,60.2,488,14,2.9,43,1.13,15.3
36,Gladbach,de Bundesliga,2,34.0,52,4,0,6,1,49.5,0.27,-1.5,-0.04,209,570,36.7,1162,158,34.7,33.3,280,59.6,45.7,587,45,7.7,27,0.79,11.6
